Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Komoditi
2024-01-01,4383.5938,4538.5127,47858.547,73.4857,385550.34,Monday,January,2024,Jagung
2024-01-02,4350.7188,4526.6074,49136.99,73.297195,391489.12,Tuesday,January,2024,Jagung
2024-01-03,4302.641,4498.6875,51100.758,72.99847,402269.84,Wednesday,January,2024,Jagung
2024-01-04,4235.2744,4459.0093,53555.49,72.64283,415956.22,Thursday,January,2024,Jagung
2024-01-05,4159.5493,4415.5894,56329.434,72.27562,430842.12,Friday,January,2024,Jagung
2024-01-06,4101.3286,4384.627,59205.67,71.95924,444599.22,Saturday,January,2024,Jagung
2024-01-07,4048.698,4363.9785,62014.58,71.701004,456859.62,Sunday,January,2024,Jagung
2024-01-08,4025.1511,4343.8823,63901.504,71.58884,465325.53,Monday,January,2024,Jagung
2024-01-09,3998.2368,4322.2617,65436.492,71.48463,471430.5,Tuesday,January,2024,Jagung
2024-01-10,3968.2917,4299.0835,66619.84,71.38838,475874.03,Wednesday,January,2024,Jagung
2024-01-11,3935.0293,4274.189,67542.93,71.29324,480143.2,Thursday,January,2024,Jagung
2024-01-12,3907.3953,4251.7573,68416.27,71.220406,484169.66,Friday,January,2024,Jagung
2024-01-13,3890.8008,4236.761,69423.13,71.17226,489689.88,Saturday,January,2024,Jagung
2024-01-14,3879.4373,4227.666,70462.41,71.13637,495688.1,Sunday,January,2024,Jagung
2024-01-15,3866.0596,4220.341,71313.734,71.098694,500306.84,Monday,January,2024,Jagung
2024-01-16,3846.8289,4210.969,71797.414,71.05038,502414.8,Tuesday,January,2024,Jagung
2024-01-17,3825.7986,4199.3306,71990.41,71.00287,502793.7,Wednesday,January,2024,Jagung
2024-01-18,3806.822,4186.865,72026.37,70.96395,502334.66,Thursday,January,2024,Jagung
2024-01-19,3795.0527,4176.4097,72156.56,70.93721,502678.66,Friday,January,2024,Jagung
2024-01-20,3793.4812,4172.596,72559.6,70.92593,505187.28,Saturday,January,2024,Jagung
2024-01-21,3795.082,4172.737,73081.13,70.91876,508543.66,Sunday,January,2024,Jagung
2024-01-22,3792.3752,4172.7446,73470.58,70.90383,510753.2,Monday,January,2024,Jagung
2024-01-23,3782.4092,4169.8745,73551.65,70.87716,510691.28,Tuesday,January,2024,Jagung
2024-01-24,3769.6895,4163.86,73387.54,70.849014,509065.94,Wednesday,January,2024,Jagung
2024-01-25,3758.4202,4156.5005,73127.016,70.827,506962.5,Thursday,January,2024,Jagung
2024-01-26,3753.4995,4150.452,73017.4,70.815475,506000.7,Friday,January,2024,Jagung
2024-01-27,3757.9224,4150.5493,73237.125,70.8178,507554.22,Saturday,January,2024,Jagung
2024-01-28,3764.8296,4154.177,73616.9,70.82277,510215.12,Sunday,January,2024,Jagung
2024-01-29,3766.4949,4157.0186,73886.05,70.81862,511848.0,Monday,January,2024,Jagung
2024-01-30,3760.1008,4156.401,73865.5,70.801895,511303.03,Tuesday,January,2024,Jagung
2024-01-31,3750.5732,4152.35,73615.42,70.7828,509281.25,Wednesday,January,2024,Jagung
2024-02-01,3742.0596,4146.6567,73284.68,70.768814,506859.44,Thursday,February,2024,Jagung
2024-02-02,3743.4683,4146.3755,73041.63,70.763535,504993.6,Friday,February,2024,Jagung
2024-02-03,3755.674,4154.536,73160.59,70.77127,505707.8,Saturday,February,2024,Jagung
2024-02-04,3771.577,4168.1675,73472.84,70.779,507753.28,Sunday,February,2024,Jagung
2024-02-05,3782.764,4182.113,73713.2,70.77733,508983.03,Monday,February,2024,Jagung
2024-02-06,3785.3655,4191.695,73653.45,70.76137,507855.12,Tuesday,February,2024,Jagung
2024-02-07,3784.3943,4196.625,73291.88,70.742874,504908.75,Wednesday,February,2024,Jagung
2024-02-08,3784.5393,4198.601,72818.74,70.731636,501472.94,Thursday,February,2024,Jagung
2024-02-09,3790.2537,4201.4663,72520.12,70.73056,499448.4,Friday,February,2024,Jagung
2024-02-10,3804.7363,4210.5747,72642.98,70.74143,500393.7,Saturday,February,2024,Jagung
2024-02-11,3821.1394,4223.889,72980.65,70.75475,502818.84,Sunday,February,2024,Jagung
