Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun
2024-01-01,13019.738,16285.3545,245.41069,2.2259796,24.224161,Monday,January,2024
2024-01-02,13032.947,16086.207,98.52529,0.5186922,191.75284,Tuesday,January,2024
2024-01-03,13085.943,15678.489,-273.16348,-0.9073968,50.480713,Wednesday,January,2024
2024-01-04,13059.252,15522.095,-368.13855,-1.0407171,-98.67189,Thursday,January,2024
2024-01-05,13053.565,15446.718,-352.96014,-1.0227695,-195.2416,Friday,January,2024
2024-01-06,13042.444,15406.871,-304.19095,-0.87909585,-225.44257,Saturday,January,2024
2024-01-07,13029.159,15395.255,-259.57037,-0.67966443,-227.73877,Sunday,January,2024
2024-01-08,13017.991,15393.787,-232.4108,-0.50443435,-217.9836,Monday,January,2024
2024-01-09,13009.983,15377.902,-214.9172,-0.35423455,-202.99835,Tuesday,January,2024
2024-01-10,13015.752,15330.413,-165.09976,-0.17738989,-158.34091,Wednesday,January,2024
2024-01-11,13024.949,15276.594,-114.61916,-0.028358156,-119.58485,Thursday,January,2024
2024-01-12,13032.516,15239.133,-78.26229,0.06732557,-84.95191,Friday,January,2024
2024-01-13,13032.237,15226.65,-60.659866,0.10736336,-56.34659,Saturday,January,2024
2024-01-14,13019.071,15239.263,-68.88985,0.09371481,-45.62287,Sunday,January,2024
2024-01-15,13007.804,15259.28,-122.330124,-0.09165163,-139.31209,Monday,January,2024
2024-01-16,13019.138,15279.881,-154.01375,-0.34451815,-217.9481,Tuesday,January,2024
2024-01-17,13024.6,15320.204,-199.28886,-0.6231491,-284.25845,Wednesday,January,2024
2024-01-18,13002.55,15482.216,-111.31116,-0.72641057,-211.5832,Thursday,January,2024
2024-01-19,12961.525,15746.931,-9.127398,-0.6245109,-107.79001,Friday,January,2024
2024-01-20,12922.779,16142.775,50.2097,-0.22626886,-70.706535,Saturday,January,2024
2024-01-21,12902.869,16520.719,27.464417,-0.16817039,-71.95181,Sunday,January,2024
2024-01-22,12902.191,16855.014,-1.8984362,-0.30912137,-125.076775,Monday,January,2024
2024-01-23,12910.217,17106.957,-14.130372,-0.44993538,-181.6427,Tuesday,January,2024
2024-01-24,12912.906,17252.428,-35.52342,-0.45425627,-177.90074,Wednesday,January,2024
2024-01-25,12916.622,17298.484,-51.385773,-0.44861978,-160.15009,Thursday,January,2024
2024-01-26,12919.618,17308.076,-65.01472,-0.45539787,-140.87639,Friday,January,2024
2024-01-27,12921.645,17322.71,-83.331635,-0.48899567,-137.1477,Saturday,January,2024
2024-01-28,12922.984,17352.402,-105.347916,-0.5391504,-154.28078,Sunday,January,2024
2024-01-29,12924.26,17387.816,-127.66054,-0.5865578,-181.17757,Monday,January,2024
2024-01-30,12925.67,17404.863,-141.05013,-0.60529727,-196.7433,Tuesday,January,2024
2024-01-31,12927.095,17386.445,-138.90346,-0.58499056,-185.93748,Wednesday,January,2024
2024-02-01,12928.741,17339.545,-133.29395,-0.55066967,-158.27936,Thursday,February,2024
2024-02-02,12929.078,17298.162,-131.88086,-0.54063404,-128.89313,Friday,February,2024
2024-02-03,12928.176,17283.332,-133.47916,-0.55437255,-116.49117,Saturday,February,2024
2024-02-04,12926.95,17293.1,-137.46236,-0.5781266,-124.762146,Sunday,February,2024
2024-02-05,12926.291,17315.77,-145.54866,-0.60239595,-142.79916,Monday,February,2024
2024-02-06,12926.69,17329.037,-155.52345,-0.61341685,-153.89272,Tuesday,February,2024
2024-02-07,12927.816,17318.145,-162.61108,-0.6064924,-147.07571,Wednesday,February,2024
2024-02-08,12930.682,17276.807,-177.96954,-0.62683827,-130.70445,Thursday,February,2024
2024-02-09,12933.602,17230.361,-197.02837,-0.67541033,-116.00754,Friday,February,2024
2024-02-10,12931.917,17222.494,-191.06223,-0.675873,-106.48909,Saturday,February,2024
2024-02-11,12927.904,17249.803,-172.50706,-0.6445137,-109.92281,Sunday,February,2024
2024-02-12,12926.099,17285.146,-169.44768,-0.64300364,-126.17232,Monday,February,2024
2024-02-13,12926.215,17307.266,-173.30803,-0.64097995,-137.14842,Tuesday,February,2024
2024-02-14,12927.431,17302.717,-176.32576,-0.6263031,-131.46202,Wednesday,February,2024
2024-02-15,12931.68,17260.57,-197.90163,-0.6676314,-121.036224,Thursday,February,2024
2024-02-16,12934.903,17215.814,-216.27933,-0.71799415,-109.372185,Friday,February,2024
2024-02-17,12933.05,17210.6,-207.05698,-0.7122336,-101.22649,Saturday,February,2024
2024-02-18,12928.3125,17243.05,-181.89915,-0.6644744,-103.950806,Sunday,February,2024
2024-02-19,12926.215,17281.928,-175.60703,-0.6550946,-120.50826,Monday,February,2024
2024-02-20,12926.265,17306.29,-177.73148,-0.64906144,-132.25157,Tuesday,February,2024
2024-02-21,12927.501,17302.992,-179.5871,-0.6319196,-127.47052,Wednesday,February,2024
2024-02-22,12931.714,17262.266,-200.04242,-0.6712157,-117.80377,Thursday,February,2024
2024-02-23,12934.857,17218.82,-217.35933,-0.71951693,-106.71381,Friday,February,2024
2024-02-24,12932.964,17214.166,-207.42311,-0.71213067,-98.99523,Saturday,February,2024
2024-02-25,12928.345,17246.31,-182.82303,-0.6659486,-102.53612,Sunday,February,2024
2024-02-26,12926.312,17284.941,-176.73581,-0.65711534,-119.69429,Monday,February,2024
