Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun
2024-01-01,9395.222,9053.413,25821.752,55.381374,151008.16,Monday,January,2024
2024-01-02,9394.985,8950.341,26585.658,55.381252,159075.45,Tuesday,January,2024
2024-01-03,9403.047,8909.4375,27244.602,55.401707,164512.03,Wednesday,January,2024
2024-01-04,9417.994,8907.244,27767.893,55.417606,167603.56,Thursday,January,2024
2024-01-05,9424.257,8928.192,27885.732,55.40846,166091.44,Friday,January,2024
2024-01-06,9406.277,8982.319,27733.668,55.38201,162564.77,Saturday,January,2024
2024-01-07,9386.055,9056.789,27659.838,55.357647,159581.34,Sunday,January,2024
2024-01-08,9375.125,9141.341,27779.629,55.370342,159269.94,Monday,January,2024
2024-01-09,9378.602,9254.484,27772.553,55.368824,158845.8,Tuesday,January,2024
2024-01-10,9377.343,9310.776,27899.693,55.37428,159141.47,Wednesday,January,2024
2024-01-11,9374.28,9355.202,28152.89,55.38254,159195.17,Thursday,January,2024
2024-01-12,9374.506,9468.929,28254.844,55.38326,158175.9,Friday,January,2024
2024-01-13,9386.57,9699.518,28215.2,55.375492,157166.55,Saturday,January,2024
2024-01-14,9411.496,9981.945,28338.223,55.36717,157103.0,Sunday,January,2024
2024-01-15,9434.705,10225.659,28536.7,55.364216,157917.16,Monday,January,2024
2024-01-16,9437.898,10329.584,28689.643,55.359833,158654.23,Tuesday,January,2024
2024-01-17,9419.183,10284.444,28788.166,55.35184,158928.73,Wednesday,January,2024
2024-01-18,9399.9375,10222.341,29062.387,55.348553,159616.0,Thursday,January,2024
2024-01-19,9393.774,10245.013,29332.057,55.34664,159929.08,Friday,January,2024
2024-01-20,9408.256,10405.78,29560.25,55.34646,160149.84,Saturday,January,2024
2024-01-21,9435.489,10631.233,29897.957,55.34978,161864.69,Sunday,January,2024
2024-01-22,9451.02,10793.395,30129.352,55.347717,163751.05,Monday,January,2024
2024-01-23,9437.096,10793.78,30005.084,55.333736,163619.5,Tuesday,January,2024
2024-01-24,9404.671,10634.646,29748.242,55.320335,162386.92,Wednesday,January,2024
2024-01-25,9380.131,10466.526,29752.332,55.317013,161858.53,Thursday,January,2024
2024-01-26,9374.404,10423.351,29859.244,55.31816,161602.1,Friday,January,2024
2024-01-27,9390.739,10544.326,30022.309,55.320892,161896.27,Saturday,January,2024
2024-01-28,9420.713,10738.643,30322.988,55.32658,163943.23,Sunday,January,2024
2024-01-29,9450.156,10865.649,30478.74,55.345734,165882.86,Monday,January,2024
2024-01-30,9437.169,10834.702,30229.432,55.334713,165265.16,Tuesday,January,2024
2024-01-31,9391.8955,10655.333,29876.926,55.301476,163409.75,Wednesday,January,2024
2024-02-01,9368.852,10465.564,29816.969,55.300507,162648.14,Thursday,February,2024
2024-02-02,9363.752,10386.787,29801.508,55.30267,162051.3,Friday,February,2024
2024-02-03,9385.933,10486.234,29940.553,55.309196,162374.23,Saturday,February,2024
2024-02-04,9424.541,10687.199,30245.531,55.317436,164522.69,Sunday,February,2024
2024-02-05,9453.678,10825.637,30423.818,55.32465,166519.83,Monday,February,2024
2024-02-06,9436.8545,10763.628,30031.887,55.309006,165243.4,Tuesday,February,2024
2024-02-07,9403.107,10515.697,29537.982,55.30188,162892.06,Wednesday,February,2024
2024-02-08,9373.562,10268.275,29317.07,55.29842,161862.2,Thursday,February,2024
2024-02-09,9365.047,10175.606,29204.803,55.300156,161093.27,Friday,February,2024
2024-02-10,9387.244,10255.324,29254.611,55.307938,160974.2,Saturday,February,2024
2024-02-11,9427.492,10456.12,29453.814,55.320065,162183.69,Sunday,February,2024
2024-02-12,9455.507,10603.992,29592.01,55.326675,163593.12,Monday,February,2024
2024-02-13,9447.474,10538.123,29363.018,55.32486,162914.12,Tuesday,February,2024
2024-02-14,9415.843,10290.642,29055.844,55.3199,161492.66,Wednesday,February,2024
2024-02-15,9385.665,10057.096,28946.229,55.318035,161136.12,Thursday,February,2024
2024-02-16,9374.382,9962.697,28889.246,55.31953,160734.9,Friday,February,2024
2024-02-17,9390.086,10038.484,28865.045,55.323723,160297.86,Saturday,February,2024
2024-02-18,9425.57,10231.49,28972.652,55.333393,160829.97,Sunday,February,2024
2024-02-19,9453.98,10381.542,29099.115,55.34188,161862.55,Monday,February,2024
2024-02-20,9449.369,10336.428,28966.248,55.341602,161465.72,Tuesday,February,2024
2024-02-21,9421.243,10126.833,28793.102,55.337307,160740.12,Wednesday,February,2024
2024-02-22,9394.827,9928.31,28808.729,55.337334,160515.66,Thursday,February,2024
2024-02-23,9382.167,9855.943,28779.398,55.336613,160362.62,Friday,February,2024
2024-02-24,9394.407,9944.474,28742.445,55.337627,160051.34,Saturday,February,2024
2024-02-25,9427.76,10141.697,28838.383,55.34434,160462.44,Sunday,February,2024
2024-02-26,9456.002,10300.491,28968.959,55.351906,161423.83,Monday,February,2024
2024-02-27,9452.532,10273.876,28874.828,55.350693,161189.89,Tuesday,February,2024
2024-02-28,9425.32,10090.04,28730.367,55.345905,160531.14,Wednesday,February,2024
2024-02-29,9397.911,9912.996,28741.438,55.3438,160556.3,Thursday,February,2024
2024-03-01,9385.96,9851.021,28746.453,55.34281,160428.06,Friday,March,2024
2024-03-02,9392.578,9891.402,28688.514,55.34098,160116.94,Saturday,March,2024
2024-03-03,9418.273,10003.009,28714.328,55.344753,160521.94,Sunday,March,2024
2024-03-04,9439.075,10054.803,28752.979,55.35147,161225.56,Monday,March,2024
2024-03-05,9433.35,9889.283,28705.521,55.355732,160196.55,Tuesday,March,2024
2024-03-06,9406.823,9621.229,28727.215,55.35568,159506.48,Wednesday,March,2024
2024-03-07,9382.629,9367.773,28961.422,55.357437,160453.5,Thursday,March,2024
2024-03-08,9371.915,9239.336,29081.695,55.36335,161468.62,Friday,March,2024
2024-03-09,9373.943,9205.497,29167.812,55.363735,161779.36,Saturday,March,2024
2024-03-10,9390.807,9233.523,29252.797,55.36626,161989.66,Sunday,March,2024
2024-03-11,9406.459,9247.572,29366.342,55.3714,162578.86,Monday,March,2024
2024-03-12,9405.121,9197.868,29375.084,55.375755,162960.12,Tuesday,March,2024
2024-03-13,9396.4,9110.313,29349.73,55.37131,163383.23,Wednesday,March,2024
2024-03-14,9403.308,9074.039,29308.596,55.355873,163865.31,Thursday,March,2024
2024-03-15,9406.502,9065.766,29336.727,55.36032,164672.0,Friday,March,2024
2024-03-16,9406.996,9069.486,29397.713,55.353962,164203.03,Saturday,March,2024
2024-03-17,9411.374,9099.002,29511.6,55.366516,164397.38,Sunday,March,2024
2024-03-18,9416.934,9126.468,29605.596,55.38377,165105.45,Monday,March,2024
2024-03-19,9418.265,9119.602,29559.258,55.38164,164944.94,Tuesday,March,2024
2024-03-20,9418.741,9087.979,29446.008,55.36419,164528.19,Wednesday,March,2024
2024-03-21,9420.895,9072.938,29434.963,55.3684,165772.17,Thursday,March,2024
2024-03-22,9422.618,9071.093,29481.889,55.374035,166424.38,Friday,March,2024
2024-03-23,9420.804,9075.925,29521.914,55.36392,165571.52,Saturday,March,2024
2024-03-24,9423.07,9106.853,29623.434,55.37653,165641.66,Sunday,March,2024
2024-03-25,9427.127,9135.2705,29709.908,55.39422,166267.48,Monday,March,2024
2024-03-26,9427.244,9129.118,29659.82,55.39216,166041.16,Tuesday,March,2024
2024-03-27,9426.222,9096.647,29540.07,55.374012,165508.81,Wednesday,March,2024
2024-03-28,9428.109,9079.619,29535.244,55.375843,166590.25,Thursday,March,2024
2024-03-29,9428.552,9076.807,29569.271,55.38035,167108.23,Friday,March,2024
2024-03-30,9425.788,9080.745,29598.93,55.369457,166159.55,Saturday,March,2024
2024-03-31,9426.938,9111.956,29686.328,55.382866,166218.61,Sunday,March,2024
2024-04-01,9430.6045,9139.672,29765.45,55.39974,166771.08,Monday,April,2024
2024-04-02,9426.994,9123.392,29587.645,55.387154,165739.67,Tuesday,April,2024
2024-04-03,9422.864,9088.041,29275.973,55.35416,164326.03,Wednesday,April,2024
2024-04-04,9420.696,9075.494,29100.084,55.349754,165062.4,Thursday,April,2024
2024-04-05,9424.053,9071.81,29139.812,55.345795,165599.9,Friday,April,2024
2024-04-06,9427.402,9073.783,29269.357,55.334057,165247.6,Saturday,April,2024
2024-04-07,9435.431,9093.107,29479.48,55.336735,165441.05,Sunday,April,2024
2024-04-08,9442.001,9118.679,29646.05,55.35357,166449.58,Monday,April,2024
2024-04-09,9440.332,9113.943,29558.383,55.345097,165985.0,Tuesday,April,2024
2024-04-10,9437.474,9091.775,29343.79,55.322018,165032.06,Wednesday,April,2024
2024-04-11,9436.738,9082.569,29259.133,55.319313,165627.94,Thursday,April,2024
2024-04-12,9440.376,9083.756,29327.969,55.319286,166248.69,Friday,April,2024
2024-04-13,9444.661,9091.763,29503.617,55.318314,166405.17,Saturday,April,2024
2024-04-14,9450.73,9120.709,29732.09,55.338722,167435.12,Sunday,April,2024
2024-04-15,9457.552,9148.124,29903.459,55.359943,168570.1,Monday,April,2024
2024-04-16,9455.354,9143.076,29810.148,55.354305,168130.77,Tuesday,April,2024
2024-04-17,9450.435,9116.726,29579.14,55.332195,167023.1,Wednesday,April,2024
2024-04-18,9450.712,9099.071,29484.693,55.319912,167010.05,Thursday,April,2024
2024-04-19,9452.408,9097.663,29525.537,55.320526,167457.97,Friday,April,2024
2024-04-20,9454.707,9105.746,29679.123,55.32422,167690.8,Saturday,April,2024
2024-04-21,9459.339,9135.9,29888.791,55.34926,168829.75,Sunday,April,2024
2024-04-22,9465.72,9161.871,30042.537,55.369972,169832.36,Monday,April,2024
2024-04-23,9462.79,9154.782,29932.092,55.36332,169254.2,Tuesday,April,2024
2024-04-24,9456.647,9125.576,29683.76,55.339798,167971.53,Wednesday,April,2024
2024-04-25,9456.743,9104.367,29577.188,55.323345,167678.62,Thursday,April,2024
2024-04-26,9457.424,9101.827,29603.268,55.323654,168019.52,Friday,April,2024
2024-04-27,9458.463,9110.101,29741.898,55.328934,168252.42,Saturday,April,2024
2024-04-28,9462.763,9139.754,29943.049,55.353443,169318.75,Sunday,April,2024
2024-04-29,9468.77,9165.194,30088.434,55.373608,170250.62,Monday,April,2024
2024-04-30,9465.439,9157.489,29970.766,55.36637,169609.69,Tuesday,April,2024
2024-05-01,9458.83,9127.545,29716.008,55.342278,168262.84,Wednesday,May,2024
2024-05-02,9456.157,9103.941,29519.908,55.3202,167395.42,Thursday,May,2024
2024-05-03,9457.188,9100.256,29523.504,55.316525,167645.81,Friday,May,2024
2024-05-04,9458.509,9108.824,29627.818,55.317738,167721.34,Saturday,May,2024
2024-05-05,9458.171,9134.917,29763.816,55.33539,168352.06,Sunday,May,2024
2024-05-06,9458.309,9157.917,29821.434,55.349438,168665.52,Monday,May,2024
2024-05-07,9450.79,9151.742,29621.262,55.339108,167510.05,Tuesday,May,2024
2024-05-08,9445.51,9127.924,29371.477,55.31683,166227.98,Wednesday,May,2024
2024-05-09,9446.367,9111.267,29276.295,55.299187,165942.22,Thursday,May,2024
2024-05-10,9450.808,9111.717,29376.428,55.298084,166611.47,Friday,May,2024
2024-05-11,9453.368,9127.331,29533.213,55.311695,167370.06,Saturday,May,2024
2024-05-12,9456.684,9157.182,29733.924,55.335163,168464.8,Sunday,May,2024
2024-05-13,9459.545,9182.254,29838.373,55.35362,169116.8,Monday,May,2024
2024-05-14,9453.937,9176.406,29672.871,55.346344,168198.92,Tuesday,May,2024
2024-05-15,9448.313,9149.283,29445.812,55.324562,167005.75,Wednesday,May,2024
2024-05-16,9448.786,9129.619,29355.783,55.30712,166723.16,Thursday,May,2024
2024-05-17,9453.355,9127.433,29459.182,55.306194,167389.45,Friday,May,2024
2024-05-18,9456.41,9140.831,29618.566,55.31986,168149.08,Saturday,May,2024
2024-05-19,9460.678,9169.754,29819.676,55.34355,169248.4,Sunday,May,2024
2024-05-20,9463.992,9193.503,29920.662,55.36173,169866.03,Monday,May,2024
2024-05-21,9458.341,9185.849,29748.38,55.353664,168881.55,Tuesday,May,2024
2024-05-22,9452.406,9156.242,29513.574,55.33083,167592.27,Wednesday,May,2024
2024-05-23,9452.509,9134.773,29414.398,55.31247,167213.44,Thursday,May,2024
2024-05-24,9456.76,9131.331,29510.66,55.310776,167805.81,Friday,May,2024
2024-05-25,9459.581,9143.904,29664.617,55.323853,168512.75,Saturday,May,2024
2024-05-26,9463.534,9172.412,29861.008,55.346985,169571.69,Sunday,May,2024
2024-05-27,9466.56,9195.76,29957.596,55.36469,170152.52,Monday,May,2024
2024-05-28,9460.567,9187.647,29780.39,55.356133,169128.69,Tuesday,May,2024
