Tanggal,Komoditi,Harga Petani,Harga Pengecer,Tipe,Periode,tahun,Luas Panen,Produktivitas,Produksi,Hari,Bulan,Tahun,harga_petani_scaled,harga_pengecer_scaled,luas_panen_scaled,produktivitas_scaled,produksi_scaled,hari_sin,hari_cos,bulan_sin,bulan_cos,tahun_norm
2022-01-01,Beras Medium,8799.791087413378,9000.002196080404,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,1,1,2022,0.3632999646647139,0.20831415059790537,1.0,0.204491273721775,1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0
2022-01-02,Beras Medium,8799.789666863688,9000.0022254035,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,2,1,2022,0.3632991113921795,0.20831415988378543,1.0,0.204491273721775,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0
2022-01-03,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,3,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.0
2022-01-04,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,4,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.0
2022-01-05,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,5,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.0
2022-01-06,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,6,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.0
2022-01-07,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,7,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-08,Beras Medium,8799.781463286214,9000.001678230747,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,8,1,2022,0.3632941838015462,0.20831398660806322,1.0,0.204491273721775,1.0,0.7818314824680296,0.6234898018587337,0.49999999999999994,0.8660254037844387,0.0
2022-01-09,Beras Medium,8799.779167188219,9000.001441694154,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,9,1,2022,0.36329280461898694,0.2083139117029278,1.0,0.204491273721775,1.0,0.9749279121818237,-0.2225209339563141,0.49999999999999994,0.8660254037844387,0.0
2022-01-10,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,10,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,0.43388373911755845,-0.9009688679024189,0.49999999999999994,0.8660254037844387,0.0
2022-01-11,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,11,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.4338837391175562,-0.90096886790242,0.49999999999999994,0.8660254037844387,0.0
2022-01-12,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,12,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.9749279121818235,-0.2225209339563148,0.49999999999999994,0.8660254037844387,0.0
2022-01-13,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,13,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.781831482468029,0.6234898018587346,0.49999999999999994,0.8660254037844387,0.0
2022-01-14,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,14,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-4.898587196589413e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-15,Beras Medium,8799.786548867674,8999.999283646459,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,15,1,2022,0.3632972385253721,0.2083132283039988,1.0,0.204491273721775,1.0,0.7818314824680284,0.6234898018587354,0.49999999999999994,0.8660254037844387,0.0
2022-01-16,Beras Medium,8799.797947359706,8999.998846562423,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,16,1,2022,0.3633040851849847,0.2083130898905785,1.0,0.204491273721775,1.0,0.9749279121818237,-0.22252093395631387,0.49999999999999994,0.8660254037844387,0.0
2022-01-17,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,17,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,0.43388373911755707,-0.9009688679024196,0.49999999999999994,0.8660254037844387,0.0
2022-01-18,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,18,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.43388373911755757,-0.9009688679024194,0.49999999999999994,0.8660254037844387,0.0
2022-01-19,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,19,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.9749279121818235,-0.22252093395631506,0.49999999999999994,0.8660254037844387,0.0
2022-01-20,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,20,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.7818314824680302,0.6234898018587329,0.49999999999999994,0.8660254037844387,0.0
2022-01-21,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,21,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-7.347880794884119e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-22,Beras Medium,8800.166603565558,8999.996255170272,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,22,1,2022,0.36352552356019263,0.20831226926245927,1.0,0.204491273721775,1.0,0.7818314824680271,0.6234898018587369,0.49999999999999994,0.8660254037844387,0.0
2022-01-23,Beras Medium,8800.776739659947,8999.995885083887,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,23,1,2022,0.36389201012207106,0.2083121520654947,1.0,0.204491273721775,1.0,0.9749279121818238,-0.22252093395631362,0.49999999999999994,0.8660254037844387,0.0
2022-01-24,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,24,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,0.4338837391175589,-0.9009688679024188,0.49999999999999994,0.8660254037844387,0.0
2022-01-25,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,25,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.43388373911755734,-0.9009688679024195,0.49999999999999994,0.8660254037844387,0.0
2022-01-26,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,26,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.9749279121818242,-0.22252093395631184,0.49999999999999994,0.8660254037844387,0.0
2022-01-27,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,27,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-0.7818314824680304,0.6234898018587328,0.49999999999999994,0.8660254037844387,0.0
2022-01-28,Beras Medium,8800.0,9000.0,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,28,1,2022,0.3634254508575623,0.20831345515498256,1.0,0.204491273721775,1.0,-9.797174393178826e-16,1.0,0.49999999999999994,0.8660254037844387,0.0
2022-01-29,Beras Medium,8799.764533876718,8999.994997195883,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,29,1,2022,0.36328401492096773,0.20831187089390024,1.0,0.204491273721775,1.0,0.7818314824680291,0.6234898018587344,0.49999999999999994,0.8660254037844387,0.0
2022-01-30,Beras Medium,8796.960223364267,8999.995242070358,Padi,Q1-2022,2022.0,38556.619999999995,55.20358781,212846.3758,30,1,2022,0.3615995675860235,0.20831194843943068,1.0,0.204491273721775,1.0,0.9749279121818246,-0.22252093395630992,0.49999999999999994,0.8660254037844387,0.0
