Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Komoditi
2024-01-01,9654.477,9632.382,32146.854,55.341957,174017.44,Monday,January,2024,Beras Medium
2024-01-01,3943.2832,4356.7603,13853.442,69.50356,163219.5,Monday,January,2024,Jagung
2024-01-01,16547.787,18622.5,-842.14417,-0.65347344,-795.9649,Monday,January,2024,Kacang Hijau
2024-01-01,10073.139,11164.092,28211.816,55.268192,154993.5,Monday,January,2024,Beras Premium
2024-01-02,9678.561,9301.785,32846.434,55.44219,178129.77,Tuesday,January,2024,Beras Medium
2024-01-02,3984.0186,4340.2163,22928.006,69.83726,220739.89,Tuesday,January,2024,Jagung
2024-01-02,10068.592,11154.531,28356.291,55.253952,155678.19,Tuesday,January,2024,Beras Premium
2024-01-02,15615.842,17949.584,-872.8356,-0.8638819,-1093.0553,Tuesday,January,2024,Kacang Hijau
2024-01-03,3977.1821,4308.192,35320.043,70.24826,305990.53,Wednesday,January,2024,Jagung
2024-01-03,9666.277,9003.758,33406.016,55.465935,181458.77,Wednesday,January,2024,Beras Medium
2024-01-03,14394.879,17329.49,-775.08813,-1.0290893,-1230.3837,Wednesday,January,2024,Kacang Hijau
2024-01-03,10057.289,11134.898,28428.264,55.239906,156181.58,Wednesday,January,2024,Beras Premium
2024-01-04,13338.458,16656.41,-1107.5801,-0.702285,-1121.5349,Thursday,January,2024,Kacang Hijau
2024-01-04,3929.395,4280.3403,45749.656,70.48944,371805.3,Thursday,January,2024,Jagung
2024-01-04,9652.332,8864.466,33324.445,55.46772,181873.78,Thursday,January,2024,Beras Medium
2024-01-04,10042.98,11107.097,28523.549,55.231907,156599.78,Thursday,January,2024,Beras Premium
2024-01-05,3869.669,4268.393,52700.31,70.567795,416294.7,Friday,January,2024,Jagung
2024-01-05,13017.677,16117.932,-610.9711,-0.46949783,-783.31805,Friday,January,2024,Kacang Hijau
2024-01-05,10031.195,11094.952,28475.488,55.22691,156342.58,Friday,January,2024,Beras Premium
2024-01-05,9624.556,8830.864,32777.375,55.45409,179970.94,Friday,January,2024,Beras Medium
2024-01-06,3843.9077,4264.263,56995.66,70.594185,437525.0,Saturday,January,2024,Jagung
2024-01-06,10029.248,11117.628,28249.15,55.223263,155261.7,Saturday,January,2024,Beras Premium
2024-01-06,9583.47,8883.528,31814.111,55.4251,175648.39,Saturday,January,2024,Beras Medium
2024-01-06,12910.54,15866.246,-38.55782,-0.4500534,-354.7064,Saturday,January,2024,Kacang Hijau
2024-01-07,12869.61,15766.336,277.14563,-0.3789978,12.494523,Sunday,January,2024,Kacang Hijau
2024-01-07,10036.896,11169.792,28053.842,55.22648,154360.38,Sunday,January,2024,Beras Premium
2024-01-07,9551.444,8975.129,30957.033,55.399002,171501.66,Sunday,January,2024,Beras Medium
2024-01-07,3832.4575,4265.54,59907.78,70.58001,449541.0,Sunday,January,2024,Jagung
2024-01-08,12852.436,15755.935,423.96146,-0.30728757,173.7159,Monday,January,2024,Kacang Hijau
2024-01-08,10051.418,11224.889,28129.705,55.22886,155001.2,Monday,January,2024,Beras Premium
2024-01-08,9539.63,9098.987,30394.479,55.38138,168787.98,Monday,January,2024,Beras Medium
2024-01-08,3836.5095,4270.4033,62243.027,70.620224,458195.28,Monday,January,2024,Jagung
2024-01-09,12850.527,15789.006,453.8,-0.20152433,222.24368,Tuesday,January,2024,Kacang Hijau
2024-01-09,10064.166,11263.765,28300.035,55.22656,155979.12,Tuesday,January,2024,Beras Premium
2024-01-09,3841.275,4272.5054,64682.918,70.67421,469517.53,Tuesday,January,2024,Jagung
2024-01-09,9537.708,9193.1455,30105.83,55.37558,167245.45,Tuesday,January,2024,Beras Medium
2024-01-10,10067.659,11282.758,28411.363,55.227146,156793.81,Wednesday,January,2024,Beras Premium
2024-01-10,3846.447,4274.273,67541.02,70.75708,485607.12,Wednesday,January,2024,Jagung
2024-01-10,12836.105,16128.935,409.12167,-0.10703435,44.79683,Wednesday,January,2024,Kacang Hijau
2024-01-10,9527.548,9220.587,29900.428,55.373474,165937.66,Wednesday,January,2024,Beras Medium
2024-01-11,3845.0608,4269.2944,70458.234,70.85718,503954.56,Thursday,January,2024,Jagung
2024-01-11,10064.914,11286.047,28428.793,55.22815,157118.08,Thursday,January,2024,Beras Premium
2024-01-11,9506.176,9220.591,29635.55,55.36899,164425.84,Thursday,January,2024,Beras Medium
2024-01-11,12806.769,16423.307,505.28815,-0.05081909,-60.432632,Thursday,January,2024,Kacang Hijau
2024-01-12,3841.163,4260.133,72376.78,70.926674,516261.8,Friday,January,2024,Jagung
2024-01-12,9485.41,9326.876,29170.654,55.360367,162164.8,Friday,January,2024,Beras Medium
2024-01-12,12807.164,16426.836,524.2275,-0.08223579,-102.986855,Friday,January,2024,Kacang Hijau
2024-01-12,10062.886,11289.351,28387.105,55.228943,157061.86,Friday,January,2024,Beras Premium
2024-01-13,9479.017,9671.333,28605.629,55.349895,159202.27,Saturday,January,2024,Beras Medium
2024-01-13,12824.134,16437.715,462.8138,-0.107216775,-183.42134,Saturday,January,2024,Kacang Hijau
2024-01-13,10066.901,11304.844,28347.8,55.23011,156934.84,Saturday,January,2024,Beras Premium
2024-01-13,3841.4966,4254.455,73084.94,70.95102,520264.8,Saturday,January,2024,Jagung
2024-01-14,9500.69,10172.781,28505.418,55.336826,157879.34,Sunday,January,2024,Beras Medium
2024-01-14,10078.962,11338.208,28425.654,55.231377,157509.11,Sunday,January,2024,Beras Premium
2024-01-14,12866.333,16534.303,310.71658,-0.09194223,-242.81363,Sunday,January,2024,Kacang Hijau
2024-01-14,3844.5986,4250.589,73252.91,70.954346,520510.9,Sunday,January,2024,Jagung
2024-01-15,3844.756,4242.2344,73472.68,70.96329,521329.66,Monday,January,2024,Jagung
2024-01-15,10093.941,11377.208,28577.928,55.233265,158489.36,Monday,January,2024,Beras Premium
2024-01-15,12915.722,16691.535,98.01644,-0.109840065,-360.8919,Monday,January,2024,Kacang Hijau
2024-01-15,9516.587,10558.291,29012.775,55.30867,159652.27,Monday,January,2024,Beras Medium
2024-01-16,3841.2427,4231.5405,74042.51,70.99683,525132.8,Tuesday,January,2024,Jagung
2024-01-16,12931.29,17009.662,-25.222826,-0.1426048,-337.2764,Tuesday,January,2024,Kacang Hijau
2024-01-16,10102.296,11399.375,28652.555,55.232716,158972.81,Tuesday,January,2024,Beras Premium
2024-01-16,9516.361,10677.414,29406.154,55.292534,161705.03,Tuesday,January,2024,Beras Medium
2024-01-17,3835.2388,4221.769,75136.51,71.061554,533358.75,Wednesday,January,2024,Jagung
2024-01-17,10100.63,11397.889,28637.986,55.230717,158945.7,Wednesday,January,2024,Beras Premium
2024-01-17,9503.914,10614.241,29346.287,55.29609,160933.2,Wednesday,January,2024,Beras Medium
2024-01-17,12915.496,17450.938,-58.367702,-0.4276008,-392.12943,Wednesday,January,2024,Kacang Hijau
2024-01-18,3824.1206,4208.281,76475.6,71.13404,543857.94,Thursday,January,2024,Jagung
2024-01-18,12906.96,17699.467,-77.96028,-0.59084487,-440.33417,Thursday,January,2024,Kacang Hijau
2024-01-18,10092.975,11381.393,28547.96,55.229053,158512.19,Thursday,January,2024,Beras Premium
2024-01-18,9482.954,10500.746,29110.898,55.306675,159044.88,Thursday,January,2024,Beras Medium
2024-01-19,12899.263,17908.252,-99.38799,-0.76610065,-543.5756,Friday,January,2024,Kacang Hijau
2024-01-19,10086.995,11368.242,28433.912,55.228024,157920.3,Friday,January,2024,Beras Premium
2024-01-19,9473.032,10520.414,29144.68,55.300926,159452.16,Friday,January,2024,Beras Medium
2024-01-19,3812.4631,4193.4214,77065.61,71.169235,548874.25,Friday,January,2024,Jagung
2024-01-20,10087.729,11370.206,28354.168,55.227993,157459.89,Saturday,January,2024,Beras Premium
2024-01-20,12894.519,18056.465,-126.14003,-0.8935059,-657.7616,Saturday,January,2024,Kacang Hijau
2024-01-20,3805.634,4182.7603,76751.77,71.15943,546819.6,Saturday,January,2024,Jagung
2024-01-20,9478.952,10742.51,29744.19,55.26971,163613.12,Saturday,January,2024,Beras Medium
2024-01-21,10097.099,11392.095,28420.37,55.22849,157848.3,Sunday,January,2024,Beras Premium
2024-01-21,9531.281,10982.688,30484.223,55.29976,170324.28,Sunday,January,2024,Beras Medium
2024-01-21,3803.6255,4175.7983,76148.125,71.134735,542322.7,Sunday,January,2024,Jagung
2024-01-21,12891.466,18196.49,-148.78082,-0.9921649,-723.7505,Sunday,January,2024,Kacang Hijau
2024-01-22,12887.216,18377.494,-187.18137,-1.1287818,-818.51733,Monday,January,2024,Kacang Hijau
2024-01-22,9558.6045,11102.195,31105.594,55.311275,173835.3,Monday,January,2024,Beras Medium
2024-01-22,10109.408,11420.737,28568.318,55.230038,158672.1,Monday,January,2024,Beras Premium
2024-01-22,3802.5862,4168.8516,75839.64,71.12768,540100.9,Monday,January,2024,Jagung
2024-01-23,3799.587,4161.576,75946.85,71.14896,541298.3,Tuesday,January,2024,Jagung
2024-01-23,12880.667,18594.52,-236.06378,-1.2926486,-928.207,Tuesday,January,2024,Kacang Hijau
2024-01-23,9537.651,11043.737,31326.598,55.303032,172804.27,Tuesday,January,2024,Beras Medium
2024-01-23,10115.0,11433.178,28625.312,55.229187,158970.95,Tuesday,January,2024,Beras Premium
2024-01-24,10110.433,11422.98,28583.047,55.226837,158748.31,Wednesday,January,2024,Beras Premium
