Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,9409.896,10137.674,19272.408,55.292473,107054.03,Monday,January,2024,8799.791087413378,9000.002196080404
2024-01-02,9367.1875,9923.105,20857.129,55.24383,116915.75,Tuesday,January,2024,8799.789666863688,9000.0022254035
2024-01-03,9343.983,9649.846,22895.918,55.20306,128504.52,Wednesday,January,2024,8800.0,9000.0
2024-01-04,9324.33,9476.642,24358.701,55.210926,137112.08,Thursday,January,2024,8800.0,9000.0
2024-01-05,9314.405,9500.388,24992.72,55.223854,140160.28,Friday,January,2024,8800.0,9000.0
2024-01-06,9309.141,9687.485,25106.74,55.21114,140354.2,Saturday,January,2024,8800.0,9000.0
2024-01-07,9322.932,9982.022,25475.424,55.194366,141372.11,Sunday,January,2024,8800.0,9000.0
2024-01-08,9348.032,10195.329,26090.906,55.202763,144486.25,Monday,January,2024,8799.781463286214,9000.001678230747
2024-01-09,9359.522,10231.821,26364.678,55.21213,146664.02,Tuesday,January,2024,8799.779167188219,9000.001441694154
2024-01-10,9351.545,10116.906,26373.219,55.222282,147647.48,Wednesday,January,2024,8800.0,9000.0
2024-01-11,9350.219,10021.593,26445.67,55.24086,148946.58,Thursday,January,2024,8800.0,9000.0
2024-01-12,9354.877,10066.299,26588.076,55.24924,149837.8,Friday,January,2024,8800.0,9000.0
2024-01-13,9372.493,10258.0205,26797.719,55.247097,150377.16,Saturday,January,2024,8800.0,9000.0
2024-01-14,9412.512,10500.492,27276.936,55.25069,152685.89,Sunday,January,2024,8800.0,9000.0
2024-01-15,9444.614,10659.286,27709.18,55.25927,155226.88,Monday,January,2024,8799.786548867674,8999.999283646459
2024-01-16,9438.453,10615.839,27608.156,55.25584,155081.4,Tuesday,January,2024,8799.797947359706,8999.998846562423
2024-01-17,9409.036,10409.921,27213.402,55.25151,153528.1,Wednesday,January,2024,8800.0,9000.0
2024-01-18,9389.326,10240.4,27007.469,55.258095,152899.4,Thursday,January,2024,8800.0,9000.0
2024-01-19,9390.47,10237.238,27024.906,55.265156,153047.73,Friday,January,2024,8800.0,9000.0
2024-01-20,9408.716,10398.068,27175.19,55.260868,153244.22,Saturday,January,2024,8800.0,9000.0
2024-01-21,9446.291,10616.958,27648.285,55.263435,155323.75,Sunday,January,2024,8800.0,9000.0
2024-01-22,9474.18,10752.313,28052.348,55.26809,157341.77,Monday,January,2024,8800.166603565558,8999.996255170272
2024-01-23,9458.54,10671.166,27813.533,55.260357,156411.0,Tuesday,January,2024,8800.776739659947,8999.995885083887
2024-01-24,9421.219,10431.6,27297.127,55.25305,154186.28,Wednesday,January,2024,8800.0,9000.0
2024-01-25,9396.105,10239.156,27014.373,55.2575,153109.22,Thursday,January,2024,8800.0,9000.0
2024-01-26,9395.35,10227.526,27009.66,55.26463,153107.14,Friday,January,2024,8800.0,9000.0
2024-01-27,9412.408,10385.332,27148.355,55.25991,153159.33,Saturday,January,2024,8800.0,9000.0
2024-01-28,9449.273,10605.474,27616.363,55.260616,154978.78,Sunday,January,2024,8800.0,9000.0
2024-01-29,9476.722,10741.981,28016.506,55.26576,156985.36,Monday,January,2024,8799.764533876718,8999.994997195883
2024-01-30,9459.674,10658.47,27763.85,55.2578,155991.64,Tuesday,January,2024,8796.960223364267,8999.995242070358
2024-01-31,9421.466,10416.102,27246.096,55.250664,153767.1,Wednesday,January,2024,8800.0,9000.0
2024-02-01,9395.585,10222.441,26966.268,55.255188,152714.11,Thursday,February,2024,8799.551511348309,9000.003160002161
2024-02-02,9372.28,10086.688,26630.195,55.247295,150841.77,Friday,February,2024,8800.0,9000.0
2024-02-03,9377.071,10166.248,26575.3,55.234413,149895.52,Saturday,February,2024,8800.0,9000.0
2024-02-04,9401.256,10325.748,26718.416,55.22503,150108.64,Sunday,February,2024,8800.0,9000.0
2024-02-05,9405.111,10339.635,26648.256,55.21291,149754.12,Monday,February,2024,8799.609126762862,9000.002674201083
2024-02-06,9370.502,10071.5625,26184.816,55.187347,147695.55,Tuesday,February,2024,8799.623278557487,9000.002534986164
2024-02-07,9343.146,9665.389,26354.87,55.17127,149341.2,Wednesday,February,2024,8800.0,9000.0
2024-02-08,9330.56,9357.7295,26929.719,55.162083,152608.89,Thursday,February,2024,8800.0,9000.0
2024-02-09,9322.616,9230.085,27101.594,55.15333,153288.39,Friday,February,2024,8800.0,9000.0
2024-02-10,9311.038,9250.357,26718.281,55.13787,150301.72,Saturday,February,2024,8800.0,9000.0
2024-02-11,9307.668,9356.458,26229.523,55.12201,147004.31,Sunday,February,2024,8800.0,9000.0
2024-02-12,9314.795,9413.763,26154.117,55.11861,146517.55,Monday,February,2024,8799.697423442867,9000.001499662843
2024-02-13,9321.624,9334.289,26540.764,55.117573,148782.42,Tuesday,February,2024,8799.701586245825,9000.001293629042
2024-02-14,9326.139,9206.695,27067.154,55.114452,152046.22,Wednesday,February,2024,8800.0,9000.0
2024-02-15,9327.44,9139.091,27341.822,55.139656,153674.12,Thursday,February,2024,8800.0,9000.0
2024-02-16,9323.347,9121.804,27382.865,55.15226,153685.47,Friday,February,2024,8800.0,9000.0
2024-02-17,9314.667,9144.9,27195.568,55.12134,152227.84,Saturday,February,2024,8800.0,9000.0
2024-02-18,9309.909,9240.782,26816.01,55.108223,149656.56,Sunday,February,2024,8800.0,9000.0
2024-02-19,9315.697,9319.236,26694.137,55.111935,148943.12,Monday,February,2024,8799.379138082533,8999.999901848198
2024-02-20,9324.828,9301.21,26931.125,55.1159,150500.03,Tuesday,February,2024,8798.288516383145,8999.99965080228
2024-02-21,9329.345,9222.604,27263.11,55.115902,152679.08,Wednesday,February,2024,8800.0,9000.0
2024-02-22,9330.919,9161.889,27515.707,55.12229,154373.38,Thursday,February,2024,8800.0,9000.0
2024-02-23,9324.92,9147.461,27524.912,55.134003,154234.44,Friday,February,2024,8800.0,9000.0
2024-02-24,9313.916,9189.5,27246.059,55.115845,152216.16,Saturday,February,2024,8800.0,9000.0
2024-02-25,9308.736,9308.719,26786.217,55.114548,149230.14,Sunday,February,2024,8800.0,9000.0
2024-02-26,9315.038,9393.413,26634.58,55.117958,148463.0,Monday,February,2024,8777.32530049219,8999.998174147917
2024-02-27,9323.857,9368.015,26866.977,55.12071,150059.72,Tuesday,February,2024,8766.81854149068,8999.997972326557
2024-02-28,9327.35,9269.245,27207.588,55.118813,152253.98,Wednesday,February,2024,8756.286647126888,8999.997804524108
2024-02-29,9328.727,9186.778,27505.715,55.122303,154221.38,Thursday,February,2024,8741.84872463808,8999.997684186059
2024-03-01,9323.38,9157.934,27545.203,55.126328,154316.19,Friday,March,2024,8800.0,9000.0
2024-03-02,9317.089,9166.865,27404.217,55.11551,153146.81,Saturday,March,2024,8800.0,9000.0
2024-03-03,9318.066,9204.937,27271.605,55.112545,152046.9,Sunday,March,2024,8800.0,9000.0
2024-03-04,9329.971,9195.905,27465.848,55.11295,153242.17,Monday,March,2024,8696.409646022521,8999.99921214132
2024-03-05,9340.787,9134.288,27762.29,55.13778,155061.36,Tuesday,March,2024,8684.012633272407,8999.999163679484
2024-03-06,9348.629,9073.117,27972.914,55.19323,156392.44,Wednesday,March,2024,8671.76464790139,8999.999160379264
