Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,10089.182,11213.084,28325.43,55.29936,156076.88,Monday,January,2024,9499.999997639217,9999.999978177066
2024-01-02,10085.212,11196.533,28513.975,55.273083,156561.52,Tuesday,January,2024,9499.999997978282,9999.999959338178
2024-01-03,10071.657,11170.708,28569.742,55.254265,156925.66,Wednesday,January,2024,9500.0,10000.0
2024-01-04,10054.879,11136.989,28624.63,55.242226,157119.52,Thursday,January,2024,9500.0,10000.0
2024-01-05,10040.806,11119.142,28543.367,55.234394,156689.67,Friday,January,2024,9500.0,10000.0
2024-01-06,10036.785,11136.158,28297.771,55.228893,155499.02,Saturday,January,2024,9500.0,10000.0
2024-01-07,10042.569,11183.102,28090.049,55.23051,154524.89,Sunday,January,2024,9500.0,10000.0
2024-01-08,10055.655,11231.655,28186.9,55.230804,155285.72,Monday,January,2024,9500.000000241393,9999.999912821704
2024-01-09,10067.187,11268.248,28343.402,55.227837,156190.2,Tuesday,January,2024,9500.000000610858,9999.999917024023
2024-01-10,10069.715,11285.724,28444.227,55.228214,156965.92,Wednesday,January,2024,9500.0,10000.0
2024-01-11,10066.369,11287.956,28454.621,55.228817,157247.61,Thursday,January,2024,9500.0,10000.0
2024-01-12,10063.909,11290.567,28407.861,55.229374,157162.7,Friday,January,2024,9500.0,10000.0
2024-01-13,10067.609,11305.563,28364.068,55.230392,157009.73,Saturday,January,2024,9500.0,10000.0
2024-01-14,10079.406,11338.558,28437.43,55.23157,157558.84,Sunday,January,2024,9500.0,10000.0
2024-01-15,10094.2,11377.318,28586.467,55.23338,158522.7,Monday,January,2024,9500.000002106244,9999.999977820024
2024-01-16,10102.441,11399.391,28659.54,55.232796,159000.17,Tuesday,January,2024,9500.000002155764,9999.999994557278
2024-01-17,10100.729,11397.889,28644.574,55.230785,158973.38,Wednesday,January,2024,9500.0,10000.0
2024-01-18,10093.045,11381.402,28554.07,55.22912,158539.12,Thursday,January,2024,9500.0,10000.0
2024-01-19,10087.045,11368.266,28439.441,55.228085,157945.5,Friday,January,2024,9500.0,10000.0
2024-01-20,10087.765,11370.234,28358.912,55.228046,157481.48,Saturday,January,2024,9500.0,10000.0
2024-01-21,10097.117,11392.125,28424.154,55.22854,157865.42,Sunday,January,2024,9500.0,10000.0
2024-01-22,10109.417,11420.763,28571.28,55.23007,158685.47,Monday,January,2024,9500.00000061187,10000.000152139284
2024-01-23,10115.006,11433.215,28627.865,55.229218,158982.75,Tuesday,January,2024,9500.000000005331,10000.000188729786
2024-01-24,10110.44,11423.029,28585.338,55.22686,158759.27,Wednesday,January,2024,9500.0,10000.0
2024-01-25,10100.44,11399.583,28477.842,55.225094,158193.52,Thursday,January,2024,9500.0,10000.0
2024-01-26,10092.736,11381.339,28357.436,55.22422,157543.55,Friday,January,2024,9500.0,10000.0
2024-01-27,10092.176,11379.594,28279.785,55.22449,157079.88,Saturday,January,2024,9500.0,10000.0
2024-01-28,10100.593,11398.684,28354.906,55.225464,157497.39,Sunday,January,2024,9500.0,10000.0
2024-01-29,10112.038,11425.133,28514.695,55.227345,158364.72,Monday,January,2024,9500.0,10000.0
2024-01-30,10116.93,11435.809,28576.58,55.226948,158686.53,Tuesday,January,2024,9500.0,10000.0
2024-01-31,10111.741,11424.244,28537.64,55.224934,158483.31,Wednesday,January,2024,9500.0,10000.0
2024-02-01,10101.283,11399.849,28434.848,55.22345,157941.8,Thursday,February,2024,9499.999999218893,9999.999815503468
2024-02-02,10093.45,11383.99,28362.85,55.223396,157547.58,Friday,February,2024,9500.0,10000.0
2024-02-03,10095.644,11395.155,28414.682,55.225456,157735.73,Saturday,February,2024,9500.0,10000.0
2024-02-04,10108.531,11433.536,28630.795,55.230583,158886.8,Sunday,February,2024,9500.0,10000.0
2024-02-05,10126.618,11480.014,28963.922,55.242104,160816.1,Monday,February,2024,9499.999999801761,9999.999835487753
2024-02-06,10137.961,11503.683,29172.871,55.25236,162135.03,Tuesday,February,2024,9499.999999951735,9999.999854192754
2024-02-07,10135.056,11494.139,29134.812,55.252113,161958.12,Wednesday,February,2024,9500.0,10000.0
2024-02-08,10124.54,11470.513,28978.156,55.246315,161012.1,Thursday,February,2024,9500.0,10000.0
2024-02-09,10119.341,11463.325,28927.342,55.244404,160690.28,Friday,February,2024,9500.0,10000.0
2024-02-10,10125.564,11481.685,29040.432,55.251617,161334.45,Saturday,February,2024,9500.0,10000.0
2024-02-11,10142.837,11524.16,29346.59,55.266388,163153.42,Sunday,February,2024,9500.0,10000.0
2024-02-12,10162.832,11570.361,29722.463,55.28151,165398.03,Monday,February,2024,9500.000000729644,9999.999912497098
2024-02-13,10171.891,11585.566,29852.795,55.28762,166195.11,Tuesday,February,2024,9500.000000818485,9999.999924132344
2024-02-14,10165.249,11563.0205,29680.7,55.28348,165224.5,Wednesday,February,2024,9500.0,10000.0
2024-02-15,10150.575,11526.323,29396.756,55.273365,163521.9,Thursday,February,2024,9500.0,10000.0
2024-02-16,10141.797,11508.828,29251.107,55.267185,162627.1,Friday,February,2024,9500.0,10000.0
2024-02-17,10144.9795,11519.336,29297.63,55.27028,162858.86,Saturday,February,2024,9500.0,10000.0
2024-02-18,10159.301,11555.392,29564.137,55.280373,164392.03,Sunday,February,2024,9500.0,10000.0
2024-02-19,10176.567,11595.482,29912.03,55.291157,166435.5,Monday,February,2024,9500.000000958058,10000.000001942943
2024-02-20,10182.854,11604.791,29987.887,55.294815,166896.75,Tuesday,February,2024,9500.000000906368,10000.0000162049
2024-02-21,10173.663,11576.47,29773.08,55.28842,165663.34,Wednesday,February,2024,9500.0,10000.0
2024-02-22,10156.923,11535.068,29450.166,55.27678,163737.2,Thursday,February,2024,9500.0,10000.0
2024-02-23,10146.554,11514.252,29278.385,55.269283,162692.98,Friday,February,2024,9500.0,10000.0
2024-02-24,10148.502,11522.488,29308.633,55.271313,162835.55,Saturday,February,2024,9500.0,10000.0
2024-02-25,10161.792,11556.901,29566.201,55.28042,164316.77,Sunday,February,2024,9500.0,10000.0
2024-02-26,10178.197,11595.943,29896.533,55.290993,166264.58,Monday,February,2024,9500.000000120264,10000.000107497457
2024-02-27,10183.842,11604.063,29977.77,55.293785,166760.1,Tuesday,February,2024,9500.000000018992,10000.000123572992
2024-02-28,10174.129,11575.008,29758.977,55.287174,165509.6,Wednesday,February,2024,9499.99999998498,10000.00013990121
2024-02-29,10157.02,11533.149,29433.43,55.275436,163574.3,Thursday,February,2024,9500.000000024096,9999.99990422349
2024-03-01,10146.4,11512.128,29260.877,55.267902,162532.11,Friday,March,2024,9500.0,10000.0
2024-03-02,10144.418,11510.667,29209.082,55.265976,162150.89,Saturday,March,2024,9499.999999738218,9999.99995811444
2024-03-03,10154.084,11536.966,29405.992,55.27226,163231.12,Sunday,March,2024,9500.0,10000.0
2024-03-04,10165.273,11563.19,29634.516,55.27799,164476.55,Monday,March,2024,9499.999999459773,9999.999986421011
2024-03-05,10166.035,11557.8545,29624.988,55.27625,164334.61,Tuesday,March,2024,9499.999999299438,10000.000084708685
2024-03-06,10152.145,11516.977,29326.99,55.26531,162509.16,Wednesday,March,2024,9499.999999132164,10000.00009729049
2024-03-07,10132.011,11467.936,28963.46,55.249847,160275.58,Thursday,March,2024,9500.0,10000.0
2024-03-08,10117.759,11439.519,28759.824,55.23788,158946.27,Friday,March,2024,9500.0,10000.0
2024-03-09,10116.979,11443.917,28793.373,55.237343,159065.81,Saturday,March,2024,9500.0,10000.0
2024-03-10,10128.59,11476.281,29041.188,55.24715,160536.69,Sunday,March,2024,9499.999998531533,10000.000056342984
2024-03-11,10142.463,11510.255,29325.56,55.257183,162214.7,Monday,March,2024,9499.999998436668,10000.000053320868
2024-03-12,10146.742,11514.599,29383.633,55.259583,162573.73,Tuesday,March,2024,9499.999998379788,10000.000047823258
2024-03-13,10136.664,11484.065,29156.83,55.25238,161260.19,Wednesday,March,2024,9500.0,10000.0
2024-03-14,10119.841,11444.021,28859.016,55.239803,159473.12,Thursday,March,2024,9500.0,10000.0
2024-03-15,10107.896,11422.153,28706.402,55.230427,158488.3,Friday,March,2024,9500.0,10000.0
2024-03-16,10108.919,11431.123,28771.97,55.231987,158830.56,Saturday,March,2024,9500.0,10000.0
2024-03-17,10122.309,11466.965,29032.336,55.243786,160418.86,Sunday,March,2024,9500.0,10000.0
2024-03-18,10137.687,11503.781,29326.055,55.255325,162183.75,Monday,March,2024,9499.999999243983,9999.999957283555
2024-03-19,10143.275,11510.601,29392.432,55.25875,162614.61,Tuesday,March,2024,9499.999999643,9999.999931737508
2024-03-20,10134.288,11482.132,29172.79,55.252235,161359.17,Wednesday,March,2024,9500.0,10000.0
2024-03-21,10118.272,11443.573,28880.834,55.240036,159612.89,Thursday,March,2024,9500.0,10000.0
2024-03-22,10106.864,11422.599,28731.291,55.23095,158649.31,Friday,March,2024,9500.0,10000.0
