Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,4221.6724,4492.908,37084.277,72.60761,272484.34,Monday,January,2024,4800.0,5000.0
2024-01-02,4197.0874,4475.654,40052.23,72.44664,296576.0,Tuesday,January,2024,4800.0,5000.0
2024-01-03,4144.255,4437.641,45153.195,72.146225,336937.03,Wednesday,January,2024,4800.0,5000.0
2024-01-04,4078.5134,4394.9917,50683.1,71.846664,381707.25,Thursday,January,2024,4800.0,5000.0
2024-01-05,3985.497,4339.9463,55728.844,71.609665,420274.4,Friday,January,2024,4800.0,5000.0
2024-01-06,3921.8806,4303.694,59281.96,71.40539,444029.75,Saturday,January,2024,4799.746637713668,5009.651930607805
2024-01-07,3877.2021,4270.1875,61915.492,71.22941,459010.03,Sunday,January,2024,4802.46970347902,5002.025400711653
2024-01-08,3846.2698,4242.833,64171.125,71.11464,471371.22,Monday,January,2024,4800.0,5000.0
2024-01-09,3836.2253,4227.5913,66339.95,71.12274,483116.66,Tuesday,January,2024,4800.0,5000.0
2024-01-10,3826.0408,4213.4204,68946.75,71.170555,499348.28,Wednesday,January,2024,4800.0,5000.0
2024-01-11,3812.1675,4196.0513,71597.055,71.23214,517108.9,Thursday,January,2024,4800.0,5000.0
2024-01-12,3797.6758,4176.865,73279.34,71.25978,528479.9,Friday,January,2024,4800.0,5000.0
2024-01-13,3788.3118,4162.4683,73737.08,71.24145,531002.5,Saturday,January,2024,4802.44317986411,4998.246026872479
2024-01-14,3784.4377,4152.784,73697.734,71.20701,529824.6,Sunday,January,2024,4801.952762679021,4996.246049658204
2024-01-15,3782.9214,4144.722,73801.63,71.18916,529826.6,Monday,January,2024,4800.0,5000.0
2024-01-16,3780.4534,4137.503,74304.49,71.20247,533206.7,Tuesday,January,2024,4800.0,5000.0
2024-01-17,3775.3684,4130.803,75356.23,71.2474,541039.44,Wednesday,January,2024,4800.0,5000.0
2024-01-18,3764.5117,4119.275,76643.086,71.29849,550896.2,Thursday,January,2024,4800.0,5000.0
2024-01-19,3752.671,4105.629,77164.516,71.31187,555022.0,Friday,January,2024,4800.0,5000.0
2024-01-20,3746.1792,4096.904,76775.99,71.282974,552060.44,Saturday,January,2024,4799.175294356501,4987.0310302983
2024-01-21,3746.3044,4093.9934,76108.67,71.24334,546837.56,Sunday,January,2024,4798.462720235664,4985.929583364198
2024-01-22,3749.4424,4093.189,75727.97,71.224144,543827.6,Monday,January,2024,4800.0,5000.0
2024-01-23,3752.1306,4093.578,75785.83,71.238014,544524.4,Tuesday,January,2024,4800.0,5000.0
2024-01-24,3751.1294,4093.22,76454.75,71.28186,549985.94,Wednesday,January,2024,4800.0,5000.0
2024-01-25,3744.7976,4088.4175,77397.29,71.33142,557706.1,Thursday,January,2024,4800.0,5000.0
2024-01-26,3737.0674,4080.7952,77643.766,71.34219,560041.8,Friday,January,2024,4800.0,5000.0
2024-01-27,3733.1135,4076.0166,77080.63,71.31032,555813.7,Saturday,January,2024,4797.9135112315425,5013.574273364846
2024-01-28,3735.0996,4076.049,76297.266,71.26786,549665.9,Sunday,January,2024,4795.430916666671,5012.610222729622
2024-01-29,3740.223,4078.1763,75828.81,71.24652,545958.06,Monday,January,2024,4800.0,5000.0
2024-01-30,3743.6384,4079.963,75836.52,71.2579,546142.1,Tuesday,January,2024,4745.681179544848,4940.551225015046
2024-01-31,3743.345,4080.959,76468.35,71.29953,551204.75,Wednesday,January,2024,4700.0,4850.0
2024-02-01,3737.6882,4077.4028,77382.16,71.346924,558593.9,Thursday,February,2024,4700.0,4850.0
2024-02-02,3732.477,4073.5442,77278.805,71.33505,557621.94,Friday,February,2024,4700.0,4850.0
2024-02-03,3732.4475,4074.3064,76581.31,71.283775,551316.44,Saturday,February,2024,4709.885248967673,4867.115140660087
2024-02-04,3738.5913,4080.4001,75842.32,71.22778,544429.94,Sunday,February,2024,4706.806720017,4865.43740902087
2024-02-05,3747.2405,4087.9387,75465.27,71.194305,540506.9,Monday,February,2024,4700.0,4850.0
2024-02-06,3754.1433,4095.5066,75516.05,71.188774,540068.9,Tuesday,February,2024,4700.0,4850.0
2024-02-07,3759.9497,4105.307,75879.8,71.20804,542432.6,Wednesday,February,2024,4700.0,4850.0
2024-02-08,3762.169,4113.03,76422.57,71.23116,546175.94,Thursday,February,2024,4700.0,4850.0
2024-02-09,3765.0583,4120.366,76422.12,71.221725,545554.3,Friday,February,2024,4700.0,4850.0
2024-02-10,3772.3765,4130.3706,75941.93,71.18107,540862.94,Saturday,February,2024,4698.536938301259,4852.931436858286
2024-02-11,3784.3604,4143.419,75434.07,71.13535,535857.0,Sunday,February,2024,4699.2873073343535,4850.627782528821
2024-02-12,3795.821,4154.378,75228.73,71.10713,533376.2,Monday,February,2024,4700.0,4850.0
2024-02-13,3804.0664,4163.603,75374.23,71.10275,533854.94,Tuesday,February,2024,4700.0,4850.0
2024-02-14,3809.3625,4172.913,75761.46,71.11981,536503.1,Wednesday,February,2024,4700.0,4850.0
2024-02-15,3811.5847,4180.722,76283.67,71.142746,540272.5,Thursday,February,2024,4700.0,4850.0
2024-02-16,3814.354,4187.9155,76305.484,71.13628,539988.6,Friday,February,2024,4700.0,4850.0
2024-02-17,3822.4285,4198.72,75896.164,71.10054,536009.2,Saturday,February,2024,4707.253013453736,4880.148700427409
2024-02-18,3833.9902,4210.936,75489.95,71.05821,531848.6,Sunday,February,2024,4705.886699885393,4884.667709590732
2024-02-19,3842.9412,4218.652,75319.13,71.02919,529673.56,Monday,February,2024,4700.0,4850.0
2024-02-20,3848.6184,4224.634,75470.3,71.02317,530262.7,Tuesday,February,2024,4700.0,4850.0
2024-02-21,3851.5574,4230.963,75819.516,71.037674,532721.56,Wednesday,February,2024,4700.0,4850.0
2024-02-22,3852.9307,4237.7397,76278.055,71.0615,536215.7,Thursday,February,2024,4700.0,4850.0
2024-02-23,3856.335,4245.913,76278.36,71.05948,536098.56,Friday,February,2024,4700.0,4850.0
2024-02-24,3865.5476,4258.0884,75903.41,71.02979,532636.0,Saturday,February,2024,4694.759139209998,4914.608874746247
2024-02-25,3875.9873,4268.8345,75546.69,70.991234,529120.75,Sunday,February,2024,4711.102031432318,4952.658147188067
2024-02-26,3878.7305,4270.559,75298.43,70.97361,528075.5,Monday,February,2024,4721.606341393062,4964.4650798150415
2024-02-27,3880.1956,4271.5684,75409.94,70.96932,528824.9,Tuesday,February,2024,4728.385598981007,4976.31357112304
2024-02-28,3882.168,4275.8164,75762.87,70.97916,530794.4,Wednesday,February,2024,4500.0,4700.0
2024-02-29,3885.8462,4283.9883,76267.14,70.995995,533511.3,Thursday,February,2024,4789.640506016874,4955.62890057012
2024-03-01,3889.8823,4292.5884,76258.83,70.99636,533275.94,Friday,March,2024,4500.0,4700.0
2024-03-02,3895.7793,4302.8115,75612.18,70.960144,529298.2,Saturday,March,2024,4756.455194438201,4936.878525114721
2024-03-03,3903.0159,4312.502,74932.76,70.91328,525265.7,Sunday,March,2024,4767.242548645026,4944.781905974584
2024-03-04,3909.0444,4319.3774,74469.84,70.86729,522217.2,Monday,March,2024,4736.698582215409,4947.146903684339
2024-03-05,3914.6172,4326.716,74209.04,70.82651,520018.22,Tuesday,March,2024,4500.0,4700.0
2024-03-06,3921.3518,4338.823,74124.99,70.79658,518858.44,Wednesday,March,2024,4500.0,4700.0
2024-03-07,3929.9302,4355.5425,74186.85,70.777626,518495.7,Thursday,March,2024,4500.0,4700.0
2024-03-08,3942.2524,4376.898,73965.26,70.75748,517184.22,Friday,March,2024,4701.969183868314,4975.897920718155
2024-03-09,3957.0427,4399.018,73487.555,70.72822,515128.88,Saturday,March,2024,4711.662571578616,4972.271808128518
2024-03-10,3970.0415,4416.2944,73156.29,70.69072,514084.06,Sunday,March,2024,4733.240835204434,4973.492066032999
2024-03-11,3985.9888,4432.3354,72942.14,70.638954,513439.88,Monday,March,2024,4600.0,5000.0
2024-03-12,4003.7056,4449.486,72876.2,70.5838,513185.8,Tuesday,March,2024,4600.0,5000.0
2024-03-13,4021.1467,4469.75,72979.6,70.54972,513901.12,Wednesday,March,2024,4600.0,5000.0
2024-03-14,4040.2822,4494.711,73224.83,70.53592,515463.44,Thursday,March,2024,4600.0,5000.0
2024-03-15,4062.0063,4521.5244,73313.06,70.521736,516395.28,Friday,March,2024,4600.0,5000.0
2024-03-16,4085.5017,4547.821,73272.56,70.49169,516803.44,Saturday,March,2024,4776.2773144429675,5061.604571162705
2024-03-17,4108.7607,4571.221,73233.78,70.44865,517472.2,Sunday,March,2024,4764.538917917609,5085.358087820688
2024-03-18,4127.5693,4597.0015,73083.555,70.40444,519199.16,Monday,March,2024,4800.0,5150.0
2024-03-19,4145.366,4620.698,73122.805,70.36941,521623.7,Tuesday,March,2024,4800.0,5150.0
2024-03-20,4163.356,4644.4033,73377.65,70.35475,524717.94,Wednesday,March,2024,4800.0,5150.0
2024-03-21,4181.2056,4670.9473,73709.86,70.36242,528403.75,Thursday,March,2024,4800.0,5150.0
2024-03-22,4198.175,4699.903,73833.07,70.37312,531727.7,Friday,March,2024,4800.0,5150.0
2024-03-23,4215.058,4729.2935,73775.27,70.36978,534706.56,Saturday,March,2024,4783.081164507289,5077.571372738688
2024-03-24,4230.0986,4753.792,73658.86,70.3512,537232.0,Sunday,March,2024,4789.505906644235,5091.76718423574
2024-03-25,4241.8765,4770.48,73560.19,70.32275,538870.56,Monday,March,2024,4800.0,5200.0
2024-03-26,4252.6855,4783.0146,73661.74,70.29882,540538.06,Tuesday,March,2024,4800.0,5200.0
2024-03-27,4263.3457,4795.3145,73973.33,70.29352,542798.9,Wednesday,March,2024,4800.0,5200.0
2024-03-28,4277.4717,4809.8135,74381.4,70.3215,545052.25,Thursday,March,2024,4800.0,5200.0
2024-03-29,4296.2773,4826.7217,74618.86,70.36949,546083.3,Friday,March,2024,4859.210370538005,5176.411732148699
2024-03-30,4318.2324,4845.614,74684.84,70.40896,546407.8,Saturday,March,2024,4973.466507301889,5164.440508671285
2024-03-31,4336.0986,4861.0713,74660.56,70.42274,546707.4,Sunday,March,2024,4949.572848296564,5165.223024748827
2024-04-01,4346.3037,4869.9507,74607.53,70.40949,546877.8,Monday,April,2024,5100.0,5200.0
2024-04-02,4355.5264,4878.0137,74532.9,70.36636,546748.0,Tuesday,April,2024,5100.0,5200.0
2024-04-03,4368.4688,4890.031,74549.914,70.325874,546805.0,Wednesday,April,2024,5100.0,5200.0
2024-04-04,4388.5083,4908.031,74709.83,70.313675,547367.7,Thursday,April,2024,5100.0,5200.0
2024-04-05,4412.292,4928.8247,74806.61,70.32519,547655.75,Friday,April,2024,5100.0,5200.0
2024-04-06,4431.8,4946.4053,74862.805,70.33057,548284.6,Saturday,April,2024,4701.624928128245,5147.974374123043
2024-04-07,4444.119,4958.219,74901.09,70.31547,549499.44,Sunday,April,2024,4629.984338560717,5138.943330185901
2024-04-08,4450.9355,4964.6987,74914.98,70.2837,550804.7,Monday,April,2024,4900.0,5150.0
2024-04-09,4456.5938,4970.6064,75017.0,70.247574,552306.94,Tuesday,April,2024,4900.0,5150.0
2024-04-10,4463.9673,4978.416,75207.4,70.22065,553724.1,Wednesday,April,2024,4900.0,5150.0
2024-04-11,4477.3667,4990.532,75506.6,70.224396,555161.5,Thursday,April,2024,4900.0,5150.0
2024-04-12,4493.8374,5003.9614,75740.79,70.24993,556065.5,Friday,April,2024,4602.278701652203,5114.407564434754
2024-04-13,4505.3193,5013.8823,75874.234,70.26701,556937.7,Saturday,April,2024,4595.338070031945,5108.44904766178
2024-04-14,4510.311,5018.768,75961.93,70.26418,558258.8,Sunday,April,2024,4588.4867954841475,5102.020711135717
2024-04-15,4510.8555,5019.3345,75996.36,70.24482,559515.6,Monday,April,2024,4900.0,5150.0
2024-04-16,4510.758,5019.994,76090.59,70.21933,560800.1,Tuesday,April,2024,4900.0,5150.0
2024-04-17,4512.7114,5022.942,76248.664,70.20143,561858.06,Wednesday,April,2024,4900.0,5150.0
2024-04-18,4520.916,5030.474,76499.57,70.21225,562835.7,Thursday,April,2024,4900.0,5150.0
2024-04-19,4532.5835,5039.6367,76675.05,70.2429,563230.0,Friday,April,2024,4900.0,5150.0
2024-04-20,4539.5596,5045.5557,76743.65,70.26314,563575.4,Saturday,April,2024,4536.385866679586,5080.888961216382
2024-04-21,4540.551,5046.857,76766.27,70.26258,564383.3,Sunday,April,2024,4448.776215722906,5011.254798181325
2024-04-22,4537.6636,5044.3223,76735.25,70.2451,565132.44,Monday,April,2024,4800.0,5000.0
2024-04-23,4534.583,5042.188,76759.68,70.22152,565891.06,Tuesday,April,2024,4800.0,5000.0
2024-04-24,4533.8315,5042.652,76853.66,70.20531,566462.5,Wednesday,April,2024,4800.0,5000.0
2024-04-25,4539.5034,5047.9355,77046.88,70.21701,566991.0,Thursday,April,2024,4800.0,5000.0
2024-04-26,4548.9473,5055.093,77168.805,70.248116,566974.4,Friday,April,2024,4800.0,5000.0
2024-04-27,4553.912,5059.1875,77188.61,70.26833,566953.4,Saturday,April,2024,4390.576261669041,4979.9314622909715
2024-04-28,4553.1465,5058.8774,77167.41,70.26768,567434.75,Sunday,April,2024,4418.038569959116,4969.7845249564325
2024-04-29,4548.755,5054.945,77095.52,70.25005,567876.94,Monday,April,2024,4618.821949627871,4956.423442861251
2024-04-30,4544.3804,5051.5547,77078.63,70.226425,568329.4,Tuesday,April,2024,4559.357066080043,4938.266807281898
2024-05-01,4542.4663,5050.9194,77136.57,70.21022,568628.3,Wednesday,May,2024,4500.0,5000.0
2024-05-02,4548.5093,5056.0947,77233.91,70.19548,568628.8,Thursday,May,2024,4500.0,5000.0
