Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,13138.299,16193.77,-3.7514071,0.64049846,39.102875,Monday,January,2024,15000.0,17045.4326224135
2024-01-02,13039.808,16083.347,-44.328205,0.09465679,-81.3589,Tuesday,January,2024,15000.0,17780.66474521125
2024-01-03,12963.548,15903.253,36.20741,-0.02153415,-53.298088,Wednesday,January,2024,15000.0,17000.0
2024-01-04,12892.676,15676.523,236.86192,-0.112310894,115.81683,Thursday,January,2024,15000.0,17000.0
2024-01-05,12886.3955,15536.758,284.00903,-0.18218069,203.54279,Friday,January,2024,15000.0,17000.0
2024-01-06,12915.892,15479.02,151.69423,-0.31418145,71.06681,Saturday,January,2024,15000.0,17000.0
2024-01-07,12942.949,15436.332,48.303814,-0.4322496,-19.722681,Sunday,January,2024,15000.0,17000.0
2024-01-08,12964.287,15405.304,-30.077291,-0.5246801,-61.849915,Monday,January,2024,15000.0,17302.669445890177
2024-01-09,12981.464,15375.773,-101.03613,-0.5994513,-89.926636,Tuesday,January,2024,15000.0,17130.143153799956
2024-01-10,12999.87,15358.563,-142.6633,-0.53538144,-157.94095,Wednesday,January,2024,15000.0,17000.0
2024-01-11,13015.266,15363.381,-147.50969,-0.45325425,-261.24463,Thursday,January,2024,15000.0,17000.0
2024-01-12,13026.405,15376.857,-141.88069,-0.42547023,-351.86542,Friday,January,2024,15000.0,17000.0
2024-01-13,13032.521,15407.122,-124.992874,-0.41533163,-344.92227,Saturday,January,2024,15000.0,17000.0
2024-01-14,13033.255,15440.1,-92.620995,-0.41376245,-286.18835,Sunday,January,2024,15000.0,17000.0
2024-01-15,13021.59,15461.633,-53.06252,-0.4080986,-187.94876,Monday,January,2024,15000.0,17010.845579465516
2024-01-16,13001.422,15468.359,-3.2120469,-0.40406308,-67.0592,Tuesday,January,2024,15000.0,17138.79190918788
2024-01-17,12970.435,15494.594,83.40002,-0.52180135,65.32041,Wednesday,January,2024,15000.0,17000.0
2024-01-18,12934.79,15559.384,251.64313,-0.5036582,196.10869,Thursday,January,2024,15000.0,17000.0
2024-01-19,12892.562,15654.163,487.83917,-0.39791816,344.59067,Friday,January,2024,15000.0,17000.0
2024-01-20,12858.2705,15842.621,656.0492,-0.33921754,400.40247,Saturday,January,2024,15000.0,17000.0
2024-01-21,12873.7705,16242.136,684.8448,-0.25186142,446.1538,Sunday,January,2024,15000.0,17000.0
2024-01-22,12898.95,16639.162,544.2368,-0.32269973,255.45605,Monday,January,2024,15000.0,16994.361619304753
2024-01-23,12914.957,17004.852,346.18967,-0.2730503,155.4524,Tuesday,January,2024,15000.0,16194.708881668814
2024-01-24,12927.292,17274.146,193.71336,-0.2792179,57.411312,Wednesday,January,2024,15000.0,17000.0
2024-01-25,12936.902,17429.127,85.65321,-0.27289602,-2.3994997,Thursday,January,2024,15000.0,17000.0
2024-01-26,12944.01,17509.443,14.025179,-0.24584137,-20.739115,Friday,January,2024,15000.0,17000.0
2024-01-27,12948.083,17574.9,-35.759956,-0.23961599,-27.35097,Saturday,January,2024,15000.0,17000.0
2024-01-28,12949.308,17664.818,-78.537125,-0.2725055,-45.14951,Sunday,January,2024,15000.0,17000.0
2024-01-29,12948.691,17773.6,-121.02793,-0.332477,-79.11985,Monday,January,2024,15000.0,16252.908711561005
2024-01-30,12947.358,17871.303,-157.70387,-0.39572993,-119.33078,Tuesday,January,2024,15000.0,16974.399317084215
2024-01-31,12946.408,17914.865,-179.47945,-0.43078402,-146.13332,Wednesday,January,2024,15000.0,17000.0
2024-02-01,12946.795,17888.957,-183.77435,-0.41588244,-140.31245,Thursday,February,2024,15000.0,17484.468908130115
2024-02-02,12947.643,17826.42,-172.31686,-0.36931458,-103.94788,Friday,February,2024,15000.0,17000.0
2024-02-03,12945.963,17786.645,-153.00706,-0.35093868,-86.696495,Saturday,February,2024,15000.0,17000.0
