Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,10304.973,11705.168,26819.111,55.24693,139726.67,Monday,January,2024,9499.999997639217,9999.999978177066
2024-01-02,10257.425,11614.534,26653.293,55.245914,140572.27,Tuesday,January,2024,9499.999997978282,9999.999959338178
2024-01-03,10209.408,11524.829,26502.717,55.23395,140917.02,Wednesday,January,2024,9500.0,10000.0
2024-01-04,10172.837,11460.848,26466.766,55.22419,141530.55,Thursday,January,2024,9500.0,10000.0
2024-01-05,10149.466,11423.055,26586.84,55.222984,142930.78,Friday,January,2024,9500.0,10000.0
2024-01-06,10141.879,11416.099,26885.455,55.23253,145269.78,Saturday,January,2024,9500.0,10000.0
2024-01-07,10144.052,11427.699,27249.0,55.249912,147977.66,Sunday,January,2024,9500.0,10000.0
2024-01-08,10140.932,11426.052,27478.07,55.26744,150123.11,Monday,January,2024,9500.000000241393,9999.999912821704
2024-01-09,10126.321,11400.351,27571.848,55.2779,151635.27,Tuesday,January,2024,9500.000000610858,9999.999917024023
2024-01-10,10113.395,11380.981,27658.953,55.281387,152672.86,Wednesday,January,2024,9500.0,10000.0
2024-01-11,10106.015,11374.761,27762.256,55.287334,153563.38,Thursday,January,2024,9500.0,10000.0
2024-01-12,10104.703,11379.081,27926.729,55.295734,154701.89,Friday,January,2024,9500.0,10000.0
2024-01-13,10114.2705,11403.552,28184.357,55.31026,156292.7,Saturday,January,2024,9500.0,10000.0
2024-01-14,10130.899,11440.931,28481.611,55.327007,157999.53,Sunday,January,2024,9500.0,10000.0
2024-01-15,10140.818,11462.74,28682.03,55.3372,159180.92,Monday,January,2024,9500.000002106244,9999.999977820024
2024-01-16,10136.065,11453.741,28712.475,55.33647,159554.05,Tuesday,January,2024,9500.000002155764,9999.999994557278
2024-01-17,10128.37,11441.574,28667.38,55.33464,159454.64,Wednesday,January,2024,9500.0,10000.0
2024-01-18,10123.657,11437.186,28624.477,55.334335,159201.38,Thursday,January,2024,9500.0,10000.0
2024-01-19,10123.223,11439.637,28647.354,55.33636,159288.94,Friday,January,2024,9500.0,10000.0
2024-01-20,10134.167,11463.636,28793.93,55.34448,159981.34,Saturday,January,2024,9500.0,10000.0
2024-01-21,10153.208,11503.035,29026.162,55.35179,160917.16,Sunday,January,2024,9500.0,10000.0
2024-01-22,10163.655,11523.27,29144.074,55.35873,161522.5,Monday,January,2024,9500.00000061187,10000.000152139284
2024-01-23,10156.267,11506.206,29059.293,55.358902,161394.84,Tuesday,January,2024,9500.000000005331,10000.000188729786
2024-01-24,10146.47,11487.449,28938.006,55.352573,160804.4,Wednesday,January,2024,9500.0,10000.0
2024-01-25,10139.348,11476.1045,28827.02,55.34829,160132.25,Thursday,January,2024,9500.0,10000.0
2024-01-26,10136.882,11472.68,28798.793,55.34625,159880.61,Friday,January,2024,9500.0,10000.0
2024-01-27,10147.623,11494.987,28935.13,55.347027,160282.38,Saturday,January,2024,9500.0,10000.0
2024-01-28,10165.6045,11531.204,29139.371,55.35297,161067.39,Sunday,January,2024,9500.0,10000.0
2024-01-29,10174.867,11548.161,29233.752,55.359074,161570.16,Monday,January,2024,9500.0,10000.0
2024-01-30,10165.505,11526.257,29117.516,55.359722,161368.22,Tuesday,January,2024,9500.0,10000.0
2024-01-31,10153.35,11502.022,28961.117,55.355293,160741.95,Wednesday,January,2024,9500.0,10000.0
2024-02-01,10145.114,11487.933,28843.908,55.34871,160003.77,Thursday,February,2024,9499.999999218893,9999.999815503468
2024-02-02,10142.135,11483.375,28789.861,55.342354,159521.39,Friday,February,2024,9500.0,10000.0
2024-02-03,10153.656,11508.034,28895.854,55.339184,159608.38,Saturday,February,2024,9500.0,10000.0
2024-02-04,10174.028,11550.478,29078.924,55.340515,160030.2,Sunday,February,2024,9500.0,10000.0
2024-02-05,10186.0205,11573.664,29148.416,55.344208,160224.77,Monday,February,2024,9499.999999801761,9999.999835487753
2024-02-06,10178.149,11554.604,28999.05,55.343143,159721.73,Tuesday,February,2024,9499.999999951735,9999.999854192754
2024-02-07,10163.708,11524.173,28792.62,55.337208,158840.17,Wednesday,February,2024,9500.0,10000.0
2024-02-08,10153.086,11503.801,28642.791,55.329147,157949.88,Thursday,February,2024,9500.0,10000.0
2024-02-09,10151.72,11502.762,28618.568,55.32288,157522.2,Friday,February,2024,9500.0,10000.0
2024-02-10,10165.935,11533.426,28765.104,55.320457,157721.1,Saturday,February,2024,9500.0,10000.0
2024-02-11,10188.467,11581.201,28990.521,55.323807,158337.14,Sunday,February,2024,9500.0,10000.0
2024-02-12,10201.293,11606.277,29083.748,55.329678,158703.48,Monday,February,2024,9500.000000729644,9999.999912497098
2024-02-13,10192.763,11585.134,28936.305,55.329586,158280.2,Tuesday,February,2024,9500.000000818485,9999.999924132344
2024-02-14,10176.461,11549.937,28725.658,55.32445,157476.56,Wednesday,February,2024,9500.0,10000.0
2024-02-15,10164.176,11525.508,28578.832,55.31744,156699.72,Thursday,February,2024,9500.0,10000.0
2024-02-16,10161.761,11522.134,28561.855,55.312107,156380.3,Friday,February,2024,9500.0,10000.0
2024-02-17,10175.31,11551.471,28718.168,55.310543,156685.64,Saturday,February,2024,9500.0,10000.0
2024-02-18,10196.986,11597.75,28953.965,55.31554,157453.22,Sunday,February,2024,9500.0,10000.0
2024-02-19,10208.654,11620.51,29050.555,55.322723,157938.03,Monday,February,2024,9500.000000958058,10000.000001942943
2024-02-20,10198.783,11596.365,28900.143,55.32321,157581.84,Tuesday,February,2024,9500.000000906368,10000.0000162049
2024-02-21,10181.13,11558.16,28687.352,55.31863,156845.06,Wednesday,February,2024,9500.0,10000.0
2024-02-22,10167.768,11531.416,28541.775,55.31228,156143.78,Thursday,February,2024,9500.0,10000.0
2024-02-23,10164.508,11526.35,28527.32,55.307568,155895.38,Friday,February,2024,9500.0,10000.0
2024-02-24,10177.386,11554.427,28685.793,55.30662,156263.66,Saturday,February,2024,9500.0,10000.0
2024-02-25,10198.425,11599.566,28923.805,55.312336,157097.42,Sunday,February,2024,9500.0,10000.0
2024-02-26,10209.504,11621.233,29021.523,55.320076,157635.34,Monday,February,2024,9500.000000120264,10000.000107497457
2024-02-27,10199.1455,11596.143,28873.086,55.32092,157325.72,Tuesday,February,2024,9500.000000018992,10000.000123572992
2024-02-28,10181.157,11557.317,28663.164,55.316696,156633.16,Wednesday,February,2024,9499.99999998498,10000.00013990121
2024-02-29,10167.582,11530.224,28521.137,55.310726,155974.8,Thursday,February,2024,9500.000000024096,9999.99990422349
2024-03-01,10164.122,11524.845,28509.473,55.306343,155762.42,Friday,March,2024,9500.0,10000.0
2024-03-02,10172.465,11542.676,28594.363,55.30242,155872.22,Saturday,March,2024,9499.999999738218,9999.99995811444
2024-03-03,10187.508,11574.244,28754.88,55.3051,156453.94,Sunday,March,2024,9500.0,10000.0
2024-03-04,10192.6875,11582.615,28785.662,55.31076,156820.22,Monday,March,2024,9499.999999459773,9999.999986421011
2024-03-05,10177.065,11545.808,28579.03,55.31111,156401.12,Tuesday,March,2024,9499.999999299438,10000.000084708685
2024-03-06,10155.393,11498.336,28326.713,55.306343,155629.42,Wednesday,March,2024,9499.999999132164,10000.00009729049
2024-03-07,10138.114,11461.918,28142.102,55.298813,154877.14,Thursday,March,2024,9500.0,10000.0
2024-03-08,10129.167,11443.7,28079.47,55.291904,154564.22,Friday,March,2024,9500.0,10000.0
2024-03-09,10135.108,11456.762,28173.633,55.287968,154788.92,Saturday,March,2024,9500.0,10000.0
