Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,3570.4934,3861.4722,29992.826,72.37021,214698.47,Monday,January,2024,4800.0,5000.0
2024-01-02,3493.354,3760.3818,38994.016,72.09132,273725.62,Tuesday,January,2024,4800.0,5000.0
2024-01-03,3424.9214,3676.6558,52482.18,71.79156,367942.22,Wednesday,January,2024,4800.0,5000.0
2024-01-04,3412.7021,3651.1633,65151.688,71.64283,457740.8,Thursday,January,2024,4800.0,5000.0
2024-01-05,3389.562,3655.0454,71280.984,71.55487,496430.47,Friday,January,2024,4800.0,5000.0
2024-01-06,3376.7903,3666.4043,72454.195,71.38113,500701.72,Saturday,January,2024,4799.746637713668,5009.651930607805
2024-01-07,3370.1768,3666.1208,71422.68,71.28027,495350.94,Sunday,January,2024,4802.46970347902,5002.025400711653
2024-01-08,3373.6792,3676.517,70523.11,71.19448,491841.66,Monday,January,2024,4800.0,5000.0
2024-01-09,3388.7356,3702.7944,70343.516,71.11223,494369.0,Tuesday,January,2024,4800.0,5000.0
2024-01-10,3396.2188,3718.403,71019.914,71.081764,502646.1,Wednesday,January,2024,4800.0,5000.0
2024-01-11,3399.109,3725.9944,72043.33,71.08187,512482.38,Thursday,January,2024,4800.0,5000.0
2024-01-12,3405.1775,3734.5981,72278.31,71.064354,515709.62,Friday,January,2024,4800.0,5000.0
2024-01-13,3420.4219,3752.9204,71703.23,71.02038,512781.7,Saturday,January,2024,4802.44317986411,4998.246026872479
2024-01-14,3443.0847,3780.3782,71038.164,70.97173,509509.22,Sunday,January,2024,4801.952762679021,4996.246049658204
2024-01-15,3465.8953,3808.937,70576.695,70.92937,508354.56,Monday,January,2024,4800.0,5000.0
2024-01-16,3482.9114,3831.104,70424.97,70.89907,509817.3,Tuesday,January,2024,4800.0,5000.0
2024-01-17,3492.638,3844.13,70803.945,70.892845,514963.03,Wednesday,January,2024,4800.0,5000.0
2024-01-18,3497.1719,3849.668,71505.21,70.90847,521546.1,Thursday,January,2024,4800.0,5000.0
2024-01-19,3502.5208,3854.3018,71683.02,70.91414,523252.5,Friday,January,2024,4800.0,5000.0
2024-01-20,3513.9028,3865.6724,71313.266,70.901764,520613.56,Saturday,January,2024,4799.175294356501,4987.0310302983
2024-01-21,3531.1755,3884.9934,70971.76,70.88503,518661.62,Sunday,January,2024,4798.462720235664,4985.929583364198
2024-01-22,3545.8428,3903.6672,70875.38,70.87562,518481.53,Monday,January,2024,4800.0,5000.0
2024-01-23,3556.0051,3919.859,71039.14,70.86864,519201.0,Tuesday,January,2024,4800.0,5000.0
2024-01-24,3560.7097,3929.837,71505.23,70.86714,521882.0,Wednesday,January,2024,4800.0,5000.0
2024-01-25,3562.3604,3933.3684,72189.96,70.88145,526798.9,Thursday,January,2024,4800.0,5000.0
2024-01-26,3567.1404,3937.643,72429.02,70.88916,528048.75,Friday,January,2024,4800.0,5000.0
2024-01-27,3577.1624,3947.8655,72134.92,70.87972,524732.7,Saturday,January,2024,4797.9135112315425,5013.574273364846
2024-01-28,3591.5645,3965.9673,72007.87,70.87181,521843.56,Sunday,January,2024,4795.430916666671,5012.610222729622
2024-01-29,3604.9194,3985.6724,72122.55,70.866875,520591.78,Monday,January,2024,4800.0,5000.0
2024-01-30,3610.8765,3997.4067,72225.516,70.85665,520318.84,Tuesday,January,2024,4745.681179544848,4940.551225015046
2024-01-31,3609.8066,3999.462,72521.59,70.85375,522673.12,Wednesday,January,2024,4700.0,4850.0
2024-02-01,3606.6514,3996.5679,73080.984,70.867744,527385.8,Thursday,February,2024,4700.0,4850.0
2024-02-02,3608.6492,3996.9612,73312.61,70.87737,529013.1,Friday,February,2024,4700.0,4850.0
2024-02-03,3615.701,4002.9321,72907.71,70.86722,525183.56,Saturday,February,2024,4709.885248967673,4867.115140660087
