Tanggal,harga_petani_pred,harga_pengecer_pred,luas_lahan_pred,produktivitas_pred,produksi_pred,hari,bulan,tahun,Harga Petani,Harga Pengecer
2024-01-01,4099.4453,4391.338,15029.536,72.0136,122497.91,Monday,January,2024,4800.0,5000.0
2024-01-02,4063.3977,4353.899,16805.584,71.89843,129559.34,Tuesday,January,2024,4800.0,5000.0
2024-01-03,4009.878,4303.303,19383.252,71.69421,143495.66,Wednesday,January,2024,4800.0,5000.0
2024-01-04,3947.616,4253.748,23947.775,71.44941,175425.38,Thursday,January,2024,4800.0,5000.0
2024-01-05,3879.9333,4199.375,31240.104,71.21811,222571.58,Friday,January,2024,4800.0,5000.0
2024-01-06,3826.4016,4159.8325,38538.008,71.011894,270392.12,Saturday,January,2024,4799.746637713668,5009.651930607805
2024-01-07,3780.823,4123.9917,44432.26,70.85257,309310.28,Sunday,January,2024,4802.46970347902,5002.025400711653
2024-01-08,3750.418,4088.4722,49409.74,70.721146,344665.97,Monday,January,2024,4800.0,5000.0
2024-01-09,3719.9575,4059.5923,53775.926,70.65562,375322.66,Tuesday,January,2024,4800.0,5000.0
2024-01-10,3697.1892,4040.134,57872.484,70.68642,403106.75,Wednesday,January,2024,4800.0,5000.0
2024-01-11,3682.8591,4023.0032,62125.11,70.75659,431630.94,Thursday,January,2024,4800.0,5000.0
2024-01-12,3674.1462,4014.7808,65491.754,70.81599,454822.06,Friday,January,2024,4800.0,5000.0
2024-01-13,3672.714,4017.7317,67291.26,70.84569,468387.38,Saturday,January,2024,4802.44317986411,4998.246026872479
2024-01-14,3675.2795,4025.8875,67999.28,70.85314,474847.25,Sunday,January,2024,4801.952762679021,4996.246049658204
2024-01-15,3676.3662,4030.782,68266.586,70.8505,477974.8,Monday,January,2024,4800.0,5000.0
2024-01-16,3670.6658,4025.5579,68644.695,70.847984,481182.1,Tuesday,January,2024,4800.0,5000.0
2024-01-17,3658.7083,4011.7598,69661.52,70.86024,487987.75,Wednesday,January,2024,4800.0,5000.0
2024-01-18,3646.232,3997.055,71275.66,70.89015,498524.47,Thursday,January,2024,4800.0,5000.0
2024-01-19,3640.432,3991.3264,72478.22,70.915344,506702.34,Friday,January,2024,4800.0,5000.0
2024-01-20,3643.161,3997.5613,72586.77,70.918755,508261.2,Saturday,January,2024,4799.175294356501,4987.0310302983
2024-01-21,3649.4758,4008.4077,71998.8,70.90645,505352.06,Sunday,January,2024,4798.462720235664,4985.929583364198
2024-01-22,3653.8137,4015.4792,71271.8,70.88885,501246.2,Monday,January,2024,4800.0,5000.0
2024-01-23,3651.455,4012.6616,70902.3,70.87502,498963.88,Tuesday,January,2024,4800.0,5000.0
2024-01-24,3642.3472,4000.7915,71334.98,70.87851,501465.9,Wednesday,January,2024,4800.0,5000.0
2024-01-25,3632.2874,3987.589,72504.586,70.90196,508675.03,Thursday,January,2024,4800.0,5000.0
2024-01-26,3628.667,3983.199,73374.85,70.92272,514293.03,Friday,January,2024,4800.0,5000.0
2024-01-27,3633.3813,3990.6956,73240.18,70.92325,513910.4,Saturday,January,2024,4797.9135112315425,5013.574273364846
2024-01-28,3641.2954,4002.5498,72476.81,70.90905,509562.2,Sunday,January,2024,4795.430916666671,5012.610222729622
2024-01-29,3646.9001,4010.4045,71618.625,70.89013,504375.9,Monday,January,2024,4800.0,5000.0
2024-01-30,3645.619,4008.2798,71154.1,70.87542,501304.62,Tuesday,January,2024,4745.681179544848,4940.551225015046
2024-01-31,3637.402,3996.9797,71516.13,70.87831,503214.94,Wednesday,January,2024,4700.0,4850.0
2024-02-01,3628.0762,3984.2375,72634.65,70.90142,509981.84,Thursday,February,2024,4700.0,4850.0
2024-02-02,3628.1074,3983.7903,73472.24,70.918205,515156.12,Friday,February,2024,4700.0,4850.0
2024-02-03,3637.6343,3996.9197,73314.0,70.913605,514509.34,Saturday,February,2024,4709.885248967673,4867.115140660087
2024-02-04,3652.1172,4016.3445,72552.73,70.89443,510101.25,Sunday,February,2024,4706.806720017,4865.43740902087
2024-02-05,3665.4224,4033.0247,71693.28,70.87018,504839.2,Monday,February,2024,4700.0,4850.0
2024-02-06,3672.0273,4039.9563,71200.25,70.85083,501526.12,Tuesday,February,2024,4700.0,4850.0
2024-02-07,3671.1003,4036.9265,71443.26,70.84819,502563.3,Wednesday,February,2024,4700.0,4850.0
2024-02-08,3668.7449,4032.163,72248.78,70.86123,507053.06,Thursday,February,2024,4700.0,4850.0
2024-02-09,3672.5608,4036.2903,72812.29,70.87247,510403.25,Friday,February,2024,4700.0,4850.0
2024-02-10,3684.154,4051.5894,72596.83,70.86847,509280.72,Saturday,February,2024,4698.536938301259,4852.931436858286
2024-02-11,3698.6533,4070.6782,71927.04,70.85426,505374.38,Sunday,February,2024,4699.2873073343535,4850.627782528821
2024-02-12,3710.8352,4085.678,71141.65,70.835495,500546.88,Monday,February,2024,4700.0,4850.0
2024-02-13,3715.89,4090.5647,70702.164,70.82151,497570.3,Tuesday,February,2024,4700.0,4850.0
2024-02-14,3713.1428,4085.271,70972.484,70.82337,498779.75,Wednesday,February,2024,4700.0,4850.0
2024-02-15,3708.7217,4078.1184,71786.44,70.83978,503343.8,Thursday,February,2024,4700.0,4850.0
