Komoditi,Tanggal, Harga Petani , Harga Pengecer 
Jagung Pipil Kering,1/3/2022,4800,5000
Jagung Pipil Kering,1/4/2022,4800,5000
Jagung Pipil Kering,1/5/2022,4800,5000
Jagung Pipil Kering,1/6/2022,4800,5000
Jagung Pipil Kering,1/7/2022,4800,5000
Jagung Pipil Kering,1/8/2022,,
Jagung Pipil Kering,1/9/2022,,
Jagung Pipil Kering,1/10/2022,4800,5000
Jagung Pipil Kering,1/11/2022,4800,5000
Jagung Pipil Kering,1/12/2022,4800,5000
Jagung Pipil Kering,1/13/2022,4800,5000
Jagung Pipil Kering,1/14/2022,4800,5000
Jagung Pipil Kering,1/15/2022,,
Jagung Pipil Kering,1/16/2022,,
Jagung Pipil Kering,1/17/2022,4800,5000
Jagung Pipil Kering,1/18/2022,4800,5000
Jagung Pipil Kering,1/19/2022,4800,5000
Jagung Pipil Kering,1/20/2022,4800,5000
Jagung Pipil Kering,1/21/2022,4800,5000
Jagung Pipil Kering,1/22/2022,,
Jagung Pipil Kering,1/23/2022,,
Jagung Pipil Kering,1/24/2022,4800,5000
Jagung Pipil Kering,1/25/2022,4800,5000
Jagung Pipil Kering,1/26/2022,4800,5000
Jagung Pipil Kering,1/27/2022,4800,5000
Jagung Pipil Kering,1/28/2022,4800,5000
Jagung Pipil Kering,1/29/2022,,
Jagung Pipil Kering,1/30/2022,,
Jagung Pipil Kering,1/31/2022,4800,5000
Jagung Pipil Kering,2/1/2022,,
Jagung Pipil Kering,2/2/2022,4700,4850
Jagung Pipil Kering,2/3/2022,4700,4850
Jagung Pipil Kering,2/4/2022,4700,4850
Jagung Pipil Kering,2/5/2022,,
Jagung Pipil Kering,2/6/2022,,
Jagung Pipil Kering,2/7/2022,4700,4850
Jagung Pipil Kering,2/8/2022,4700,4850
Jagung Pipil Kering,2/9/2022,4700,4850
Jagung Pipil Kering,2/10/2022,4700,4850
Jagung Pipil Kering,2/11/2022,4700,4850
Jagung Pipil Kering,2/12/2022,,
Jagung Pipil Kering,2/13/2022,,
Jagung Pipil Kering,2/14/2022,4700,4850
Jagung Pipil Kering,2/15/2022,4700,4850
Jagung Pipil Kering,2/16/2022,4700,4850
Jagung Pipil Kering,2/17/2022,4700,4850
Jagung Pipil Kering,2/18/2022,4700,4850
Jagung Pipil Kering,2/19/2022,,
Jagung Pipil Kering,2/20/2022,,
Jagung Pipil Kering,2/21/2022,4700,4850
Jagung Pipil Kering,2/22/2022,4700,4850
Jagung Pipil Kering,2/23/2022,4700,4850
Jagung Pipil Kering,2/24/2022,4700,4850
Jagung Pipil Kering,2/25/2022,4700,4850
Jagung Pipil Kering,2/26/2022,,
Jagung Pipil Kering,2/27/2022,,
Jagung Pipil Kering,2/28/2022,,
Jagung Pipil Kering,3/1/2022,,
Jagung Pipil Kering,3/2/2022,4500,4700
Jagung Pipil Kering,3/3/2022,,
Jagung Pipil Kering,3/4/2022,4500,4700
Jagung Pipil Kering,3/5/2022,,
Jagung Pipil Kering,3/6/2022,,
Jagung Pipil Kering,3/7/2022,,
Jagung Pipil Kering,3/8/2022,4500,4700
Jagung Pipil Kering,3/9/2022,4500,4700
Jagung Pipil Kering,3/10/2022,4500,4700
Jagung Pipil Kering,3/11/2022,,
Jagung Pipil Kering,3/12/2022,,
Jagung Pipil Kering,3/13/2022,,
Jagung Pipil Kering,3/14/2022,4600,5000
Jagung Pipil Kering,3/15/2022,4600,5000
Jagung Pipil Kering,3/16/2022,4600,5000
Jagung Pipil Kering,3/17/2022,4600,5000
Jagung Pipil Kering,3/18/2022,4600,5000
Jagung Pipil Kering,3/19/2022,,
Jagung Pipil Kering,3/20/2022,,
Jagung Pipil Kering,3/21/2022,4800,5150
Jagung Pipil Kering,3/22/2022,4800,5150
Jagung Pipil Kering,3/23/2022,4800,5150
Jagung Pipil Kering,3/24/2022,4800,5150
Jagung Pipil Kering,3/25/2022,4800,5150
Jagung Pipil Kering,3/26/2022,,
Jagung Pipil Kering,3/27/2022,,
Jagung Pipil Kering,3/28/2022,4800,5200
Jagung Pipil Kering,3/29/2022,4800,5200
Jagung Pipil Kering,3/30/2022,4800,5200
Jagung Pipil Kering,3/31/2022,4800,5200
Jagung Pipil Kering,4/1/2022,,
Jagung Pipil Kering,4/2/2022,,
Jagung Pipil Kering,4/3/2022,,
Jagung Pipil Kering,4/4/2022,5100,5200
Jagung Pipil Kering,4/5/2022,5100,5200
Jagung Pipil Kering,4/6/2022,5100,5200
Jagung Pipil Kering,4/7/2022,5100,5200
Jagung Pipil Kering,4/8/2022,5100,5200
Jagung Pipil Kering,4/9/2022,,
Jagung Pipil Kering,4/10/2022,,
Jagung Pipil Kering,4/11/2022,4900,5150
Jagung Pipil Kering,4/12/2022,4900,5150
Jagung Pipil Kering,4/13/2022,4900,5150
Jagung Pipil Kering,4/14/2022,4900,5150
Jagung Pipil Kering,4/15/2022,,
Jagung Pipil Kering,4/16/2022,,
Jagung Pipil Kering,4/17/2022,,
Jagung Pipil Kering,4/18/2022,4900,5150
Jagung Pipil Kering,4/19/2022,4900,5150
Jagung Pipil Kering,4/20/2022,4900,5150
Jagung Pipil Kering,4/21/2022,4900,5150
Jagung Pipil Kering,4/22/2022,4900,5150
Jagung Pipil Kering,4/23/2022,,
Jagung Pipil Kering,4/24/2022,,
Jagung Pipil Kering,4/25/2022,4800,5000
Jagung Pipil Kering,4/26/2022,4800,5000
Jagung Pipil Kering,4/27/2022,4800,5000
Jagung Pipil Kering,4/28/2022,4800,5000
Jagung Pipil Kering,4/29/2022,4800,5000
Jagung Pipil Kering,4/30/2022,,
Jagung Pipil Kering,5/1/2022,,
Jagung Pipil Kering,5/2/2022,,
Jagung Pipil Kering,5/3/2022,,
Jagung Pipil Kering,5/4/2022,4500,5000
Jagung Pipil Kering,5/5/2022,4500,5000
Jagung Pipil Kering,5/6/2022,4400,5000
Jagung Pipil Kering,5/7/2022,,
Jagung Pipil Kering,5/8/2022,,
Jagung Pipil Kering,5/9/2022,4300,4500
Jagung Pipil Kering,5/10/2022,4200,4400
Jagung Pipil Kering,5/11/2022,4200,4400
Jagung Pipil Kering,5/12/2022,4100,4200
Jagung Pipil Kering,5/13/2022,3850,4000
Jagung Pipil Kering,5/14/2022,,
Jagung Pipil Kering,5/15/2022,,
Jagung Pipil Kering,5/16/2022,,
Jagung Pipil Kering,5/17/2022,3800,4000
Jagung Pipil Kering,5/18/2022,3800,4000
Jagung Pipil Kering,5/19/2022,3800,4000
Jagung Pipil Kering,5/20/2022,3800,4000
Jagung Pipil Kering,5/21/2022,,
Jagung Pipil Kering,5/22/2022,,
Jagung Pipil Kering,5/23/2022,4000,4250
Jagung Pipil Kering,5/24/2022,4000,4250
Jagung Pipil Kering,5/25/2022,4000,4250
Jagung Pipil Kering,5/26/2022,4000,4250
Jagung Pipil Kering,5/27/2022,4000,4250
Jagung Pipil Kering,5/28/2022,4000,4250
Jagung Pipil Kering,5/29/2022,4000,4250
Jagung Pipil Kering,5/30/2022,4000,4250
Jagung Pipil Kering,5/31/2022,4000,4250
Jagung Pipil Kering,6/1/2022,,
Jagung Pipil Kering,6/2/2022,3900,4250
Jagung Pipil Kering,6/3/2022,3900,4250
Jagung Pipil Kering,6/4/2022,,
Jagung Pipil Kering,6/5/2022,,
Jagung Pipil Kering,6/6/2022,3900,4250
Jagung Pipil Kering,6/7/2022,3900,4250
Jagung Pipil Kering,6/8/2022,3900,4250
Jagung Pipil Kering,6/9/2022,3900,4250
Jagung Pipil Kering,6/10/2022,3900,4250
Jagung Pipil Kering,6/11/2022,,
Jagung Pipil Kering,6/12/2022,,
Jagung Pipil Kering,6/13/2022,3900,4250
Jagung Pipil Kering,6/14/2022,3900,4250
Jagung Pipil Kering,6/15/2022,3900,4250
Jagung Pipil Kering,6/16/2022,3900,4250
Jagung Pipil Kering,6/17/2022,3900,4250
Jagung Pipil Kering,6/18/2022,,
Jagung Pipil Kering,6/19/2022,,
Jagung Pipil Kering,6/20/2022,3900,4250
Jagung Pipil Kering,6/21/2022,3900,4250
Jagung Pipil Kering,6/22/2022,3900,4250
Jagung Pipil Kering,6/23/2022,4000,4150
Jagung Pipil Kering,6/24/2022,4000,4150
Jagung Pipil Kering,6/25/2022,,
